page|80
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|895,023,071.26|1,013,727,678.06
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产||
应收票据|8,791,333.05|20,060,663.20
应收账款|133,730,179.27|170,314,033.60
应收款项融资||
预付款项|9,453,631.19|4,777,376.37
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|389,344.83|895,827.08
其中：应收利息||
应收股利||
买入返售金融资产||
存货|250,009,438.55|117,118,440.22
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|8,681,453.54|24,171,223.00
流动资产合计|1,306,078,451.69|1,351,065,241.53
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资|217,851,563.09|211,316,625.99
其他权益工具投资|100,000.00|940,322.84
其他非流动金融资产|335,245,728.40|296,171,263.35
投资性房地产||
page|81
固定资产|744,381,683.21|652,176,205.49
在建工程|49,000,133.19|87,301,183.40
生产性生物资产||
油气资产||
使用权资产|536,697.87|
无形资产|138,987,559.65|138,038,521.95
开发支出|21,404,614.95|29,027,751.14
商誉|51,226,011.99|51,226,011.99
长期待摊费用|10,998,495.96|7,138,001.42
递延所得税资产|18,154,704.61|11,070,187.55
其他非流动资产|8,917,114.61|12,102,190.10
非流动资产合计|1,596,804,307.53|1,496,508,265.22
资产总计|2,902,882,759.22|2,847,573,506.75
流动负债：||
短期借款|79,081,370.13|143,905,320.54
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|64,716,256.52|17,933,215.50
应付账款|76,410,258.95|119,093,544.47
预收款项||
合同负债|3,797,908.17|7,946,570.06
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|16,064,953.13|11,985,565.22
应交税费|8,925,049.14|11,691,452.41
其他应付款|15,435,494.34|23,808,442.99
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|20,640,268.51|6,000,000.00
其他流动负债|486,600.03|1,177,533.27
流动负债合计|285,558,158.92|343,541,644.46
非流动负债：||
保险合同准备金||
长期借款|84,800,000.00|194,276,774.19
应付债券|391,299,152.90|358,904,119.50
其中：优先股||
page|82
永续债||
租赁负债|136,018.75|
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|10,450,234.90|13,762,624.90
递延所得税负债|45,980,103.14|45,014,967.67
其他非流动负债||
非流动负债合计|532,665,509.69|611,958,486.26
负债合计|818,223,668.61|955,500,130.72
所有者权益：||
股本|492,717,587.00|494,494,476.00
其他权益工具|132,475,082.97|132,652,997.18
其中：优先股||
永续债||
资本公积|201,268,513.32|188,531,240.57
减：库存股|9,058,080.00|18,011,056.00
其他综合收益|-2,434,914.92|-1,720,640.51
专项储备|3.54|
盈余公积|144,211,558.62|130,023,916.42
一般风险准备||
未分配利润|897,308,244.38|815,934,348.47
归属于母公司所有者权益合计|1,856,487,994.91|1,741,905,282.13
少数股东权益|228,171,095.70|150,168,093.90
所有者权益合计|2,084,659,090.61|1,892,073,376.03
负债和所有者权益总计|2,902,882,759.22|2,847,573,506.75
