page|86
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|3,329,707,992.93|2,150,464,814.10
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|4,236,105.62|3,394,601.46
收到其他与经营活动有关的现金|13,326,152.16|37,681,270.59
经营活动现金流入小计|3,347,270,250.71|2,191,540,686.15
购买商品、接受劳务支付的现金|2,974,169,126.27|2,123,841,129.94
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
page|87
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|237,560,679.70|202,754,838.42
支付的各项税费|44,639,062.28|42,337,640.81
支付其他与经营活动有关的现金|66,421,557.02|59,875,771.99
经营活动现金流出小计|3,322,790,425.27|2,428,809,381.16
经营活动产生的现金流量净额|24,479,825.44|-237,268,695.01
二、投资活动产生的现金流量：||
收回投资收到的现金|382,359,710.00|1,473,200,000.00
取得投资收益收到的现金|14,058,137.23|21,649,303.25
处置固定资产、无形资产和其他长期资产收回的现金净额|3,796,736.40|162,480.00
处置子公司及其他营业单位收到的现金净额|12,614,070.36|25,848,141.45
收到其他与投资活动有关的现金||
投资活动现金流入小计|412,828,653.99|1,520,859,924.70
购建固定资产、无形资产和其他长期资产支付的现金|15,531,353.92|13,660,948.67
投资支付的现金|382,359,710.00|1,403,200,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||47,180,000.00
支付其他与投资活动有关的现金||
投资活动现金流出小计|397,891,063.92|1,464,040,948.67
投资活动产生的现金流量净额|14,937,590.07|56,818,976.03
三、筹资活动产生的现金流量：||
吸收投资收到的现金||
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金|389,000,000.00|517,241,509.44
收到其他与筹资活动有关的现金|117,438,131.59|60,350,010.41
筹资活动现金流入小计|506,438,131.59|577,591,519.85
偿还债务支付的现金|490,600,000.00|392,215,947.01
分配股利、利润或偿付利息支付的现金|32,175,351.70|35,139,564.14
page|88
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金|4,363,856.72|180,000.00
筹资活动现金流出小计|527,139,208.42|427,535,511.15
筹资活动产生的现金流量净额|-20,701,076.83|150,056,008.70
四、汇率变动对现金及现金等价物的影响|2,290,590.12|-1,862,049.61
五、现金及现金等价物净增加额|21,006,928.80|-32,255,759.89
加：期初现金及现金等价物余额|312,477,114.65|344,732,874.54
六、期末现金及现金等价物余额|333,484,043.45|312,477,114.65
