page|72
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|七、1|6,040,029,278.72|5,785,974,800.85
结算备付金|||
拆出资金|||
交易性金融资产|七、2|20,945.15|6,510,463.20
衍生金融资产|||
应收票据|七、4|10,545,962.27|4,344,936.39
应收账款|七、5|1,555,884,147.93|1,586,906,258.90
应收款项融资|七、6|5,132,438.00|6,201,191.14
预付款项|七、7|79,323,179.35|77,465,227.71
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|101,641,043.44|103,776,291.44
其中：应收利息||-|-
应收股利||1,600,000.00|72,000.00
买入返售金融资产|||
存货|七、9|2,742,158,426.84|2,130,621,634.21
合同资产|七、10|34,660,471.53|
持有待售资产|||
一年内到期的非流动资产|七、12|172,294,518.11|181,722,570.04
其他流动资产|七、13|502,276,759.44|86,231,460.17
流动资产合计||11,243,967,170.78|9,969,754,834.05
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|七、16|143,479,125.91|313,418,082.51
长期股权投资|七、17|754,803,876.08|717,889,546.28
其他权益工具投资|七、18|1,608,071,463.87|1,446,798,951.64
其他非流动金融资产|七、19|723,047,595.79|680,880,618.26
投资性房地产|七、20|82,653,580.43|86,104,385.12
固定资产|七、21|2,014,782,433.12|2,009,270,646.85
在建工程|七、22|144,794,764.90|37,670,169.58
生产性生物资产|||
油气资产|||
使用权资产|七、25|345,014,851.31|447,482,542.47
无形资产|七、26|379,475,191.25|355,813,424.01
开发支出|七、27|2,561,158.72|18,870,289.43
商誉|七、28|500,571,581.14|500,571,581.14
长期待摊费用|七、29|15,260,900.36|12,194,296.86
page|73
递延所得税资产|七、30|23,931,737.96|21,183,296.95
其他非流动资产|七、31|791,530,359.26|350,933,345.43
非流动资产合计||7,529,978,620.10|6,999,081,176.53
资产总计||18,773,945,790.88|16,968,836,010.58
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七、35|45,285,599.60|45,838,225.28
应付账款|七、36|5,406,581,179.99|4,550,158,695.76
预收款项|||
合同负债|七、38|542,086,414.16|442,825,006.30
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|594,173,428.34|472,779,571.05
应交税费|七、40|62,425,209.54|64,081,630.88
其他应付款|七、41|386,886,795.47|655,979,050.64
其中：应付利息|||
应付股利||-|-
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|101,706,168.70|103,865,186.60
其他流动负债|七、44|201,498,906.04|176,472,136.88
流动负债合计||7,340,643,701.84|6,511,999,503.39
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|七、47|259,594,365.23|357,266,005.19
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|七、51|31,146,881.78|45,644,566.05
递延所得税负债|七、30|32,872,282.61|25,775,918.61
其他非流动负债|||
非流动负债合计||323,613,529.62|428,686,489.85
负债合计||7,664,257,231.46|6,940,685,993.24
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|1,233,841,000.00|1,233,841,000.00
其他权益工具|||
page|74
其中：优先股|||
永续债|||
资本公积|七、55|2,572,524,766.32|2,572,524,766.32
减：库存股|||
其他综合收益|七、57|1,178,842,757.57|1,016,266,307.50
专项储备|||
盈余公积|七、59|1,009,210,479.29|897,647,684.81
一般风险准备|||
未分配利润|七、60|5,227,141,020.57|4,416,564,721.94
归属于母公司所有者权益（或股东权益）合计||11,221,560,023.75|10,136,844,480.57
少数股东权益||-111,871,464.33|-108,694,463.23
所有者权益（或股东权益）合计||11,109,688,559.42|10,028,150,017.34
负债和所有者权益（或股东权益）总计||18,773,945,790.88|16,968,836,010.58
