page|120
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||374,866,977.36|324,004,565.39
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||16,040,935.00|
收到其他与经营活动有关的现金|七、78|152,942,411.25|26,986,971.28
经营活动现金流入小计||543,850,323.61|350,991,536.67
购买商品、接受劳务支付的现金||6,329,179.65|4,263,762.10
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||195,980,080.75|118,894,855.62
支付的各项税费||30,098,828.14|18,803,975.83
支付其他与经营活动有关的现金|七、78|186,659,068.56|115,409,721.26
经营活动现金流出小计||419,067,157.10|257,372,314.81
经营活动产生的现金流量净额|七、79|124,783,166.51|93,619,221.86
二、投资活动产生的现金流量：|||
收回投资收到的现金||902,547,356.40|1,741,672,263.40
取得投资收益收到的现金||12,278,554.16|20,857,519.60
page|121
处置固定资产、无形资产和其他长期资产收回的现金净额||14,989.82|5,360.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||914,840,900.38|1,762,535,143.00
购建固定资产、无形资产和其他长期资产支付的现金||288,464,842.10|336,268,633.06
投资支付的现金||657,000,000.00|1,534,960,618.20
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||945,464,842.10|1,871,229,251.26
投资活动产生的现金流量净额||-30,623,941.72|-108,694,108.26
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||18,012,500.00|-
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||174,920,000.00|25,042,291.37
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||192,932,500.00|25,042,291.37
偿还债务支付的现金||90,055,827.55|67,138,463.82
分配股利、利润或偿付利息支付的现金||4,224,652.94|3,278,846.46
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、78|161,966,901.50|
筹资活动现金流出小计||256,247,381.99|70,417,310.28
筹资活动产生的现金流量净额||-63,314,881.99|-45,375,018.91
四、汇率变动对现金及现金等价物的影响||-2,247,445.40|-4,081,592.28
五、现金及现金等价物净增加额||28,596,897.40|-64,531,497.59
加：期初现金及现金等价物余额||271,559,909.90|336,091,407.49
六、期末现金及现金等价物余额||300,156,807.30|271,559,909.90
