page|114
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|七、1|1,279,207,316.73|237,726,486.85
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|||
应收票据|七、4|901,535,324.83|
应收账款|七、5|2,202,785,198.86|969,954,683.53
应收款项融资|七、6|167,783,041.38|602,349,684.24
预付款项|七、7|110,115,113.80|116,629,672.07
应收保费|||
page|115
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|148,524.56|4,869,550.01
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|1,576,812,680.76|704,592,319.36
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|116,859,999.49|77,055,208.67
流动资产合计||6,355,247,200.41|2,713,177,604.73
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|七、18|1,000,000.00|1,000,000.00
其他非流动金融资产|||
投资性房地产|||
固定资产|七、21|1,688,442,956.47|1,582,730,480.70
在建工程|七、22|852,750,178.45|51,762,358.67
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|七、26|373,308,469.75|246,271,800.74
开发支出|||
商誉|||
长期待摊费用|||
递延所得税资产|七、30|26,200,318.97|18,524,587.18
其他非流动资产|七、31|101,356,236.51|57,620,911.27
非流动资产合计||3,043,058,160.15|1,957,910,138.56
资产总计||9,398,305,360.56|4,671,087,743.29
流动负债：|||
短期借款|七、32|28,740,114.90|
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七、35|297,044,000.00|593,234,452.00
应付账款|七、36|1,687,817,218.69|569,849,993.28
预收款项|||
合同负债|七、38|17,584,775.09|11,253,262.37
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
page|116
代理承销证券款|||
应付职工薪酬|七、39|1,047,062.69|
应交税费|七、40|26,304,947.43|10,180,412.14
其他应付款|七、41|20,014,571.30|15,129,506.04
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|15,000,000.00|13,000,000.00
其他流动负债|七、44|627,134,805.44|186,121,828.47
流动负债合计||2,720,687,495.54|1,398,769,454.30
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|七、51|134,314,952.59|61,978,546.18
递延所得税负债|||
其他非流动负债|七、52|20,000,000.00|35,000,000.00
非流动负债合计||154,314,952.59|96,978,546.18
负债合计||2,875,002,448.13|1,495,748,000.48
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|1,929,206,272.00|1,446,904,704.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、55|3,551,157,781.04|1,386,135,798.27
减：库存股|||
其他综合收益|||
专项储备|||
盈余公积|七、59|34,125,079.25|19,166,824.75
一般风险准备|||
未分配利润|七、60|1,008,813,780.14|323,132,415.79
归属于母公司所有者权益（或股东权益）合计||6,523,302,912.43|3,175,339,742.81
少数股东权益|||
所 有者权 益（或 股东 权益）合计||6,523,302,912.43|3,175,339,742.81
负债和所有者权益（或股东权益）总计||9,398,305,360.56|4,671,087,743.29
