page|120
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|260,032,867.74|286,939,597.11
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产||
应收票据|46,483,237.28|24,523,332.80
应收账款|298,969,483.37|279,889,821.66
应收款项融资|6,557,600.00|3,000,000.00
预付款项|27,067,807.41|24,725,989.37
应收保费||
应收分保账款||
应收分保合同准备金||
page|121
其他应收款|25,306,031.96|27,030,326.75
其中：应收利息||
应收股利||
买入返售金融资产||
存货|112,097,455.64|105,729,103.85
合同资产|31,822,619.46|33,296,512.12
持有待售资产||
一年内到期的非流动资产||
其他流动资产|1,025,486.23|618,168.61
流动资产合计|809,362,589.09|785,752,852.27
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资|118,524,569.17|113,683,562.89
其他权益工具投资||
其他非流动金融资产||
投资性房地产||
固定资产|18,120,099.11|19,071,162.37
在建工程||
生产性生物资产||
油气资产||
使用权资产|725,300.12|
无形资产|22,044,156.66|11,453,175.78
开发支出||
商誉||
长期待摊费用||
递延所得税资产|16,814,143.02|11,902,745.93
其他非流动资产||
非流动资产合计|176,228,268.08|156,110,646.97
资产总计|985,590,857.17|941,863,499.24
流动负债：||
短期借款||32,040,043.84
page|122
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据||
应付账款|156,776,461.99|118,015,653.87
预收款项||
合同负债|43,111,553.50|43,839,936.44
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|13,878,179.50|11,995,011.04
应交税费|39,431,162.87|32,281,330.70
其他应付款|84,090,107.63|22,855,292.99
其中：应付利息||
应付股利|206,439.67|203,837.90
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|760,109.47|
其他流动负债|2,171,254.99|3,432,756.75
流动负债合计|340,218,829.95|264,460,025.63
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|320,000.00|320,000.00
长期应付职工薪酬||
预计负债|1,318,882.90|938,291.87
递延收益|9,594,017.70|2,791,436.31
page|123
递延所得税负债||
其他非流动负债||
非流动负债合计|11,232,900.60|4,049,728.18
负债合计|351,451,730.55|268,509,753.81
所有者权益：||
股本|188,903,321.00|180,000,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|144,311,254.17|226,743,375.17
减：库存股||
其他综合收益|-85,000.00|-85,000.00
专项储备||
盈余公积|36,386,074.73|36,386,074.73
一般风险准备||
未分配利润|264,170,864.99|230,050,902.81
归属于母公司所有者权益合计|633,686,514.89|673,095,352.71
少数股东权益|452,611.73|258,392.72
所有者权益合计|634,139,126.62|673,353,745.43
负债和所有者权益总计|985,590,857.17|941,863,499.24
