page|122
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||308,096,671.72|176,606,394.96
收到的税费返还||3,722,715.72|736,877.37
收到其他与经营活动有关的现金|七、78|14,153,395.47|12,370,897.86
经营活动现金流入小计||325,972,782.91|189,714,170.19
购买商品、接受劳务支付的现金||45,211,920.46|21,314,067.09
支付给职工及为职工支付的现金||49,581,050.67|31,274,295.83
支付的各项税费||33,908,038.70|21,748,826.02
支付其他与经营活动有关的现金|七、78|79,037,104.93|37,156,255.26
经营活动现金流出小计||207,738,114.76|111,493,444.20
经营活动产生的现金流量净额||118,234,668.15|78,220,725.99
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,499,181,213.00|60,000,000.00
取得投资收益收到的现金||8,630,863.86|293,641.77
处置固定资产、无形资产和其他长期资产收回的现金净额||1,534,212.02|23,359.21
收到其他与投资活动有关的现金|七、78|3,334,958.25|
投资活动现金流入小计||1,512,681,247.13|60,317,000.98
购建固定资产、无形资产和其他长期资产支付的现金||164,845,252.74|18,627,046.98
投资支付的现金||1,898,059,027.54|60,000,000.00
支付其他与投资活动有关的现金|七、78|21,234,353.60|
投资活动现金流出小计||2,084,138,633.88|78,627,046.98
投资活动产生的现金流量净额||-571,457,386.75|-18,310,046.00
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||565,319,040.00
取得借款收到的现金|||1,000,000.00
筹资活动现金流入小计|||566,319,040.00
偿还债务支付的现金||500,000.00|2,300,000.00
分配股利、利润或偿付利息支付的现金||25,909,039.89|59,721.88
支付其他与筹资活动有关的现金|七、78|2,776,255.75|11,302,322.25
筹资活动现金流出小计||29,185,295.64|13,662,044.13
page|123
筹资活动产生的现金流量净额||-29,185,295.64|552,656,995.87
四、汇率变动对现金及现金等价物的影响||397,077.95|-2,209,292.79
五、现金及现金等价物净增加额||-482,010,936.29|610,358,383.07
加：期初现金及现金等价物余额||709,867,949.10|99,509,566.03
六、期末现金及现金等价物余额||227,857,012.81|709,867,949.10
