page|85
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|七、1|56,759,511,603.48|50,519,309,850.54
结算备付金|七、2|26,920,133,571.84|23,902,157,385.06
拆出资金|||
交易性金融资产|七、3|42,304,829,954.89|40,937,542,780.85
衍生金融资产|七、4|360,299,452.15|361,744,732.79
应收票据|七、5||
应收账款|七、6|538,828,653.06|515,767,660.63
应收款项融资|七、7||
预付款项|七、8|198,349,849.42|152,418,439.13
融出资金|七、9|43,009,447,321.95|40,500,471,361.60
存出保证金|七、10|2,067,699,901.82|981,685,352.61
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、11|2,509,706,306.91|1,833,247,053.49
其中：应收利息|||
应收股利||57,367,075.74|
买入返售金融资产|七、12|12,555,631,474.62|16,775,530,526.92
存货|七、13|50,613,369.01|139,520,755.60
合同资产|七、14||
持有待售资产|七、15||
一年内到期的非流动资产|七、16|1,750,135,258.42|2,009,206,285.21
其他流动资产|七、17|935,495,015.12|1,167,459,991.47
page|86
流动资产合计||189,960,681,732.69|179,796,062,175.90
非流动资产：|||
发放贷款和垫款|七、18|399,662,016.42|
债权投资|七、19|179,873,068.85|
其他债权投资|七、20|41,409,075,024.75|22,030,700,199.21
长期应收款|七、21||
长期股权投资|七、22|2,287,175,638.64|2,317,807,134.55
其他权益工具投资|七、23|260,834,150.73|3,703,911,182.05
其他非流动金融资产|七、24|3,607,817,663.95|3,752,123,329.85
投资性房地产|七、25|50,858,005.26|53,916,342.63
固定资产|七、26|387,896,797.93|336,132,316.13
在建工程|七、27|900,307,157.33|612,749,793.07
生产性生物资产|七、28||
油气资产|七、29||
使用权资产|七、30|677,838,064.65|
无形资产|七、31|821,770,575.52|809,018,952.06
开发支出|七、32||
商誉|七、33|4,598,942,255.02|4,598,942,255.02
长期待摊费用|七、34|62,905,763.21|67,738,432.43
递延所得税资产|七、35|826,133,303.39|663,874,248.05
其他非流动资产|七、36||
非流动资产合计||56,471,089,485.65|38,946,914,185.05
资产总计||246,431,771,218.34|218,742,976,360.95
流动负债：|||
短期借款|七、37|48,898,485.72|635,672,954.20
向中央银行借款|||
拆入资金|七、38|15,108,203,333.35|6,720,985,305.57
交易性金融负债|七、39|9,558,629,629.42|2,406,668,630.89
衍生金融负债|七、40|301,114,002.46|171,412,569.36
应付票据|七、41||
应付账款|七、42|166,267,758.58|151,982,728.17
预收款项|七、43||
合同负债|七、44|256,566,057.41|91,968,495.90
卖出回购金融资产款|七、45|8,366,859,440.13|17,498,433,248.22
吸收存款及同业存放|||
代理买卖证券款|七、46|70,120,767,200.07|64,290,635,602.41
代理承销证券款|七、47|5,496,716.95|13,043,475.00
应付职工薪酬|七、48|3,246,394,795.16|3,683,505,206.93
应交税费|七、49|1,064,325,832.01|819,668,381.90
其他应付款|七、50|5,483,681,601.35|3,171,476,951.02
其中：应付利息|||
应付股利||37,678,013.05|
应付手续费及佣金|||
应付分保账款|||
持有待售负债|七、51||
应付短期融资款|七、52|13,377,726,219.82|12,049,243,426.04
一年内到期的非流动负债|七、53|14,956,599,190.48|17,915,999,208.41
其他流动负债|七、54||
page|87
流动负债合计||142,061,530,262.91|129,620,696,184.02
非流动负债：|||
保险合同准备金|||
长期借款|七、55|4,370,626,936.10|3,566,522,554.05
应付债券|七、56|44,488,930,253.81|34,747,985,304.25
其中：优先股|||
永续债|||
租赁负债|七、57|433,753,292.48|
长期应付款|七、58||
长期应付职工薪酬|七、59|63,459,660.00|58,110,000.00
预计负债|七、60|12,012,703.10|9,545,326.97
递延收益|七、61|2,345,965.13|5,295,535.05
递延所得税负债|七、35|453,784,222.12|429,643,582.21
其他非流动负债|七、62|2,108,206.68|2,108,206.68
非流动负债合计||49,827,021,239.42|38,819,210,509.21
负债合计||191,888,551,502.33|168,439,906,693.23
所有者权益（或股东权益）：|||
实收资本（或股本）|七、63|6,425,301,287.00|4,227,129,727.00
其他权益工具|七、64|3,201,457,465.37|3,201,513,811.07
其中：优先股|||
永续债||2,499,386,792.46|2,499,386,792.46
资本公积|七、65|18,331,591,954.82|20,529,127,652.49
减：库存股|七、66||
其他综合收益|七、67|-2,533,436.96|-110,500,123.08
专项储备|七、68||
盈余公积|七、69|568,595,351.30|485,425,388.07
一般风险准备|七、70|4,780,186,362.47|3,971,445,858.44
未分配利润|七、71|16,120,458,266.34|13,283,635,785.83
归属于母公司所有者权益（或股东权益）合计||49,425,057,250.34|45,587,778,099.82
少数股东权益||5,118,162,465.67|4,715,291,567.90
所有者权益（或股东权益）合计||54,543,219,716.01|50,303,069,667.72
负债和所有者权益（或股东权益）总计||246,431,771,218.34|218,742,976,360.95
