page|60
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|1,438,166,027.44|707,167,789.26
结算备付金||
拆出资金||
交易性金融资产|1,800,000.00|8,600,000.00
衍生金融资产||
应收票据|34,141,888.79|10,782,127.44
应收账款|2,942,118,635.05|3,150,776,058.74
应收款项融资|74,876,546.87|122,189,561.46
预付款项|236,451,257.96|333,375,007.08
应收保费||
page|61
应收分保账款||
应收分保合同准备金||
其他应收款|142,780,382.44|186,580,249.50
其中：应收利息|1,520,750.03|0.00
应收股利|0.00|314,000.00
买入返售金融资产||
存货|4,323,752.14|869,707.97
合同资产|0.00|1,755,372.10
合同履约成本|225,870,067.99|390,366,158.09
持有待售资产||
一年内到期的非流动资产||
其他流动资产|184,918,179.12|628,895,160.87
流动资产合计|5,285,446,737.80|5,541,357,192.51
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资|624,400,758.46|616,989,993.34
其他权益工具投资|62,737,008.26|53,697,021.26
其他非流动金融资产|247,325,896.01|202,325,896.00
投资性房地产|257,488,242.56|261,527,461.56
固定资产|669,241,767.11|664,585,144.03
在建工程|0.00|22,237,184.40
生产性生物资产||
油气资产||
使用权资产|24,832,022.14|22,734,632.21
无形资产|96,826,752.22|33,726,701.62
开发支出||
商誉|480,945,301.58|582,623,685.52
长期待摊费用|11,464,897.76|15,612,961.48
递延所得税资产|160,158,942.85|140,038,912.17
其他非流动资产||
非流动资产合计|2,635,421,588.95|2,616,099,593.59
page|62
资产总计|7,920,868,326.75|8,157,456,786.10
流动负债：||
短期借款|6,000,000.00|337,882,370.42
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|227,821,495.46|193,532,908.80
应付账款|2,216,696,787.01|2,270,525,715.62
预收款项|586,589.48|946,308.14
合同负债|248,800,532.45|182,620,512.02
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|117,258,115.62|134,471,592.64
应交税费|94,666,459.75|93,651,795.66
其他应付款|73,133,013.93|92,294,190.19
其中：应付利息|0.00|0.00
应付股利|1,800,000.00|6,750,000.00
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|15,361,555.58|9,887,817.02
其他流动负债|96,537,256.57|94,629,391.81
流动负债合计|3,096,861,805.85|3,410,442,602.32
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债|9,595,067.26|12,846,815.19
长期应付款||
page|63
长期应付职工薪酬||
预计负债|25,873,030.74|119,819,580.71
递延收益|66,666.28|266,666.32
递延所得税负债|15,815,042.60|15,734,164.95
其他非流动负债||
非流动负债合计|51,349,806.88|148,667,227.17
负债合计|3,148,211,612.73|3,559,109,829.49
所有者权益：||
股本|1,743,337,128.00|1,743,337,128.00
其他权益工具||
其中：优先股||
永续债||
资本公积|1,402,682,566.47|1,398,438,960.28
减：库存股||
其他综合收益|72,449,564.23|72,354,279.75
专项储备||
盈余公积|181,737,253.86|171,592,134.30
一般风险准备||
未分配利润|1,230,265,371.69|1,035,196,597.22
归属于母公司所有者权益合计|4,630,471,884.25|4,420,919,099.55
少数股东权益|142,184,829.77|177,427,857.06
所有者权益合计|4,772,656,714.02|4,598,346,956.61
负债和所有者权益总计|7,920,868,326.75|8,157,456,786.10
