page|64
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|七、1|548,933,070.24|497,244,413.85
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|||
应收票据|||
应收账款|七、5|95,257,078.55|135,213,842.90
应收款项融资|||
预付款项|七、7|12,040,976.43|17,413,298.50
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|1,171,554,030.50|1,710,483,039.57
page|65
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|278,723,065.53|339,207,533.72
合同资产|七、10|44,396,385.72|24,463,108.17
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|34,302,728.27|36,178,122.41
流动资产合计||2,185,207,335.24|2,760,203,359.12
非流动资产：|||
发放贷款和垫款|七、14|37,418,143.96|27,094,807.09
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|七、18|1,365,095,415.95|1,328,419,840.67
其他权益工具投资|七、19||
其他非流动金融资产|||
投资性房地产|七、21|658,209,592.71|683,276,793.61
固定资产|七、22|5,049,788,340.39|5,357,397,454.54
在建工程|七、23|918,653.43|4,263,921.31
生产性生物资产|||
油气资产|||
使用权资产|七、26|65,906.52|
无形资产|七、27|36,208,042.66|37,609,236.65
开发支出|||
商誉|七、29|1,124,077.08|1,124,077.08
长期待摊费用|七、30|10,954,783.20|13,129,767.33
递延所得税资产|七、31|46,572,784.34|43,230,995.47
其他非流动资产|七、32|229,462,422.92|221,097,018.07
非流动资产合计||7,435,818,163.16|7,716,643,911.82
资产总计||9,621,025,498.40|10,476,847,270.94
流动负债：|||
短期借款|七、33|400,000,000.00|555,000,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|||
应付账款|七、37|56,061,055.72|50,705,065.42
预收款项|七、38|20,624,669.64|15,343,950.91
合同负债|七、39|4,118,622.68|42,201,617.72
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、40|38,234,242.59|36,714,098.56
应交税费|七、41|68,209,762.43|48,592,544.97
其他应付款|七、42|85,118,225.43|83,278,090.72
page|66
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、44|593,712,407.61|468,718,323.99
其他流动负债|七、45|371,135.48|4,682,435.07
流动负债合计||1,266,450,121.58|1,305,236,127.36
非流动负债：|||
保险合同准备金|||
长期借款|七、46|2,388,000,000.00|3,631,000,000.00
应付债券|||
其中：优先股|||
永续债|||
租赁负债|七、48||
长期应付款|七、49|659,456,226.25|753,679,889.77
长期应付职工薪酬|||
预计负债|七、51||8,286,382.60
递延收益|七、52|41,036,836.43|42,835,603.91
递延所得税负债|||
其他非流动负债|||
非流动负债合计||3,088,493,062.68|4,435,801,876.28
负债合计||4,354,943,184.26|5,741,038,003.64
所有者权益（或股东权益）：|||
实收资本（或股本）|七、54|1,125,632,068.00|1,125,632,068.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、56|467,645,116.19|467,645,116.19
减：库存股|||
其他综合收益|||
专项储备|||
盈余公积|七、60|590,184,990.78|590,184,990.78
一般风险准备|七、61|871,515.76|871,515.76
未分配利润|七、62|3,147,859,417.74|2,616,091,231.79
归属于母公司所有者权益（或股东权益）合计||5,332,193,108.47|4,800,424,922.52
少数股东权益||-66,110,794.33|-64,615,655.22
所有者权益（或股东权益）合计||5,266,082,314.14|4,735,809,267.30
负债和所有者权益（或股东权益）总计||9,621,025,498.40|10,476,847,270.94
