page|63
资              产|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产|||
货币资金|四(1)|323,830,936.50|469,958,597.04
应收账款|四(2)|631,657.54|1,262,233.90
预付款项|四(3)|10,318,244.39|13,961,258.40
其他应收款|四(4)|5,626,907.03|5,020,864.29
存货|四(5)|1,804,623,631.75|1,729,338,935.59
其他流动资产|四(6)|82,952,114.63|78,808,628.91
流动资产合计||2,227,983,491.84|2,298,350,518.13
非流动资产|||
投资性房地产|四(7)|68,882,570.36|73,737,486.68
固定资产|四(8)|24,641,200.99|25,428,774.02
在建工程|四(9)|148,272,265.07|-
使用权资产|四(10)|9,966,397.39|—
长期待摊费用|四(11)|6,051,745.61|6,129,800.28
递延所得税资产|四(12)|53,070,348.43|30,042,240.20
非流动资产合计||310,884,527.85|135,338,301.18
资产总计||2,538,868,019.69|2,433,688,819.31
page|64
负债及股东权益|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动负债|||
应付账款|四(14)|332,736,553.74|193,325,426.78
预收款项|四(15)|264,167.14|334,278.21
合同负债|四(16)|633,059,342.74|670,646,812.44
应付职工薪酬|四(17)|21,235,368.00|18,381,342.47
应交税费|四(18)|45,964,395.27|31,865,485.84
其他应付款|四(19)|317,660,059.14|378,963,979.68
一年内到期的非流动负债|四(20)|4,601,707.06|6,250,000.00
其他流动负债|四(21)|55,850,578.88|60,226,796.56
流动负债合计||1,411,372,171.97|1,359,994,121.98
非流动负债|||
长期借款|四(22)|128,000,000.00|118,750,000.00
租赁负债|四(23)|5,612,588.78|—
递延所得税负债|四(12)|284,022.22|1,171,798.62
非流动负债合计||133,896,611.00|119,921,798.62
负债合计||1,545,268,782.97|1,479,915,920.60
股东权益|||
股本|四(24)|201,705,187.00|201,705,187.00
资本公积|四(25)|9,965,893.97|9,965,893.97
盈余公积|四(26)|232,276,757.30|232,276,757.30
未分配利润|四(27)|484,118,114.95|450,307,659.35
归属于母公司股东权益合计||928,065,953.22|894,255,497.62
少数股东权益||65,533,283.50|59,517,401.09
股东权益合计||993,599,236.72|953,772,898.71
负债及股东权益总计||2,538,868,019.69|2,433,688,819.31
