page|79
项目|附注|2021 年度|2020 年度
一、营业总收入||65,038,195,589.06|52,369,483,399.99
其中：营业收入|七、66|64,960,882,565.31|52,275,768,777.64
利息收入|七、67|77,313,023.75|93,714,622.35
已赚保费|||
手续费及佣金收入|||
二、营业总成本||59,005,381,300.65|48,636,851,504.06
其中：营业成本|七、66|52,120,205,397.67|42,776,340,387.76
利息支出|七、67|30,466,703.84|32,810,683.55
手续费及佣金支出|七、68|439,543.17|391,713.43
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、69|696,295,279.32|535,238,953.34
销售费用|七、70|184,383,842.25|179,469,547.61
管理费用|七、71|3,589,413,052.50|2,865,076,837.10
研发费用|七、72|1,659,715,025.71|1,372,927,430.58
财务费用|七、73|724,462,456.19|874,595,950.69
其中：利息费用||630,497,167.38|868,727,809.65
利息收入||9,941,470.58|16,749,306.72
加：其他收益|七、74|352,571,250.20|413,638,559.23
投资收益（损失以“－”号填列）|七、75|39,823,888.64|173,822,044.98
其中：对联营企业和合营企业的投资收益||-11,382,855.77|142,364,441.11
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七、77|4,274,706.87|9,484,019.64
信用减值损失（损失以“-”号填列）|七、78|-186,333,443.45|28,043,333.33
资产减值损失（损失以“-”号填列）|七、79|-21,230,977.28|-3,907,681.01
资产处置收益（损失以“－”|七、80|-7,520,416.38|-22,723,352.69
page|80
号填列）|||
三、营业利润（亏损以“－”号填列）||6,214,399,297.01|4,330,988,819.41
加：营业外收入|七、81|92,406,960.42|49,137,522.89
减：营业外支出|七、82|263,389,695.71|90,194,678.82
四、利润总额（亏损总额以“－”号填列）||6,043,416,561.72|4,289,931,663.48
减：所得税费用|七、83|844,621,894.00|619,863,285.18
五、净利润（净亏损以“－”号填列）||5,198,794,667.72|3,670,068,378.30
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||5,356,840,926.29|3,703,021,044.13
2.终止经营净利润（净亏损以“－”号填列）||-158,046,258.57|-32,952,665.83
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||4,780,392,320.53|3,468,482,762.42
2.少数股东损益（净亏损以“-”号填列）||418,402,347.19|201,585,615.88
六、其他综合收益的税后净额||-7,180,000.00|42,310,000.00
（一）归属母公司所有者的其他综合收益的税后净额||-7,180,000.00|42,310,000.00
1．不能重分类进损益的其他综合收益||-7,180,000.00|42,310,000.00
（1）重新计量设定受益计划变动额||-7,180,000.00|42,310,000.00
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||5,191,614,667.72|3,712,378,378.30
（一）归属于母公司所有者的综合收益总额||4,773,212,320.53|3,510,792,762.42
（二）归属于少数股东的综合收益总额||418,402,347.19|201,585,615.88
八、每股收益：|||
page|81
（一）基本每股收益(元/股)||2.04|1.60
（二）稀释每股收益(元/股)||2.04|1.44
