page|104
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|1,905,074,987.89|1,627,042,037.64
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|21,369,863.04|22,668,157.70
收到其他与经营活动有关的现金|22,696,648.12|43,277,766.14
经营活动现金流入小计|1,949,141,499.05|1,692,987,961.48
购买商品、接受劳务支付的现金|366,252,962.42|317,291,725.25
page|105
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|1,004,181,087.33|881,425,902.58
支付的各项税费|142,744,429.63|119,488,864.05
支付其他与经营活动有关的现金|119,258,692.83|148,978,215.21
经营活动现金流出小计|1,632,437,172.21|1,467,184,707.09
经营活动产生的现金流量净额|316,704,326.84|225,803,254.39
二、投资活动产生的现金流量：||
收回投资收到的现金||
取得投资收益收到的现金|10,575,280.75|10,657,983.62
处置固定资产、无形资产和其他长期资产收回的现金净额|18,000.00|
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金|1,297,442,264.00|1,642,000,000.00
投资活动现金流入小计|1,308,035,544.75|1,652,657,983.62
购建固定资产、无形资产和其他长期资产支付的现金|60,719,847.88|6,911,258.66
投资支付的现金|1,350,000.00|
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金|1,143,357,501.66|1,720,940,618.00
投资活动现金流出小计|1,205,427,349.54|1,727,851,876.66
投资活动产生的现金流量净额|102,608,195.21|-75,193,893.04
三、筹资活动产生的现金流量：||
page|106
吸收投资收到的现金|2,082,482.71|26,985,284.42
其中：子公司吸收少数股东投资收到的现金||4,252,985.13
取得借款收到的现金|414,360,000.00|1,139,648,400.00
收到其他与筹资活动有关的现金||11,660,000.00
筹资活动现金流入小计|416,442,482.71|1,178,293,684.42
偿还债务支付的现金|483,420,000.00|1,274,911,908.34
分配股利、利润或偿付利息支付的现金|29,296,904.56|27,390,408.50
其中：子公司支付给少数股东的股利、利润|641,472.57|1,089,123.50
支付其他与筹资活动有关的现金|17,238,835.98|8,277,894.33
筹资活动现金流出小计|529,955,740.54|1,310,580,211.17
筹资活动产生的现金流量净额|-113,513,257.83|-132,286,526.75
四、汇率变动对现金及现金等价物的影响|-1,373,925.04|-3,911,117.68
五、现金及现金等价物净增加额|304,425,339.18|14,411,716.92
加：期初现金及现金等价物余额|515,638,042.83|501,226,325.91
六、期末现金及现金等价物余额|820,063,382.01|515,638,042.83
