page|50
项目 附注 2021 年 12 月 31 日 2020 年 12 月 31 日|||
流动资产：|||
货币资金||297,830,284.64|357,510,381.92
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|||
应收票据||42,543,046.10|
应收账款||458,100,565.71|386,854,295.98
应收款项融资||66,498,066.39|93,743,881.17
预付款项||10,370,254.03|10,803,396.69
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||4,104,756.64|4,006,537.62
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货||286,520,392.67|212,247,926.61
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产||3,144,369.30|2,920,041.76
流动资产合计||1,169,111,735.48|1,068,086,461.75
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产||21,162,604.91|21,520,037.94
投资性房地产||29,514,115.41|30,740,892.98
固定资产||500,601,820.44|400,911,940.21
在建工程||1,805,999.22|49,163,434.33
生产性生物资产|||
油气资产|||
使用权资产||23,614,007.05|
无形资产||18,003,102.75|16,074,500.82
开发支出|||
商誉||4,203,456.36|4,203,456.36
长期待摊费用||19,666,622.70|21,349,619.57
递延所得税资产||6,561,848.18|6,300,855.16
其他非流动资产||53,199,027.49|74,910,202.82
非流动资产合计||678,332,604.51|625,174,940.19
资产总计||1,847,444,339.99|1,693,261,401.94
流动负债：|||
短期借款||540,246,237.75|503,669,177.86
向中央银行借款|||
拆入资金|||
交易性金融负债|||
page|51
衍生金融负债|||
应付票据||152,142,554.98|89,123,150.70
应付账款||310,522,216.88|318,255,533.23
预收款项||136,533.07|152,669.72
合同负债||7,650,903.11|3,316,974.39
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||55,937,503.06|50,262,821.77
应交税费||4,711,869.09|2,715,832.95
其他应付款||111,649,678.91|106,465,561.62
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债||10,811,254.28|
其他流动负债||15,732,566.23|325,504.18
流动负债合计||1,209,541,317.36|1,074,287,226.42
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债||13,125,849.73|
长期应付款|||4,878,839.92
长期应付职工薪酬|||
预计负债|||
递延收益||15,850,029.89|18,221,189.93
递延所得税负债||752,802.84|842,161.11
其他非流动负债|||
非流动负债合计||29,728,682.46|23,942,190.96
负债合计||1,239,269,999.82|1,098,229,417.38
所有者权益（或股东权益）：|||
实收资本（或股本）||281,573,889.00|281,573,889.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||66,680,414.64|66,680,414.64
减：库存股|||
其他综合收益||14,195.94|123,909.16
专项储备|||
盈余公积||70,313,339.37|70,313,339.37
一般风险准备|||
未分配利润||101,947,710.74|91,348,171.57
归属于母公司所有者权益（或股东权益）合计||520,529,549.69|510,039,723.74
少数股东权益||87,644,790.48|84,992,260.82
所有者权益（或股东权益）合计||608,174,340.17|595,031,984.56
负债和所有者权益（或股东权益）总计||1,847,444,339.99|1,693,261,401.94
