page|133
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|8,402,783,943.85|6,933,134,682.41
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|9,632,534.71|19,715,874.34
收到其他与经营活动有关的现金|3,918,171,094.53|2,081,599,691.93
经营活动现金流入小计|12,330,587,573.09|9,034,450,248.68
购买商品、接受劳务支付的现金|2,080,356,328.64|1,947,658,520.25
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|1,295,722,749.09|1,158,252,185.14
支付的各项税费|761,383,182.00|753,536,201.53
支付其他与经营活动有关的现金|3,576,872,227.40|1,958,730,759.99
经营活动现金流出小计|7,714,334,487.13|5,818,177,666.91
page|134
经营活动产生的现金流量净额|4,616,253,085.96|3,216,272,581.77
二、投资活动产生的现金流量：||
收回投资收到的现金|580,000.00|1,794,972,786.54
取得投资收益收到的现金|1,623,427,652.20|1,572,623,353.73
处置固定资产、无形资产和其他长期资产收回的现金净额|289,187,566.10|18,533,897.01
处置子公司及其他营业单位收到的现金净额||475,077,472.40
收到其他与投资活动有关的现金|51,769,199.68|8,739,666.24
投资活动现金流入小计|1,964,964,417.98|3,869,947,175.92
购建固定资产、无形资产和其他长期资产支付的现金|767,602,944.96|1,487,991,799.20
投资支付的现金|3,573,897,541.57|6,963,392,075.15
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额|32,934.91|
支付其他与投资活动有关的现金|38,215,094.76|334,863,553.44
投资活动现金流出小计|4,379,748,516.20|8,786,247,427.79
投资活动产生的现金流量净额|-2,414,784,098.22|-4,916,300,251.87
三、筹资活动产生的现金流量：||
吸收投资收到的现金|3,334,608.95|5,296,590,000.00
其中：子公司吸收少数股东投资收到的现金|3,334,608.95|
取得借款收到的现金|8,227,645,425.79|17,946,981,868.19
收到其他与筹资活动有关的现金||
筹资活动现金流入小计|8,230,980,034.74|23,243,571,868.19
偿还债务支付的现金|8,168,902,122.23|17,766,964,079.35
分配股利、利润或偿付利息支付的现金|2,523,366,245.19|3,336,100,218.58
其中：子公司支付给少数股东的股利、利润|353,535,310.70|486,888,498.08
支付其他与筹资活动有关的现金|124,696,052.97|253,021,213.73
筹资活动现金流出小计|10,816,964,420.39|21,356,085,511.66
筹资活动产生的现金流量净额|-2,585,984,385.65|1,887,486,356.53
四、汇率变动对现金及现金等价物的影响|-32,655,475.61|-23,630,177.10
page|135
五、现金及现金等价物净增加额|-417,170,873.52|163,828,509.33
加：期初现金及现金等价物余额|6,769,265,902.44|6,605,437,393.11
六、期末现金及现金等价物余额|6,352,095,028.92|6,769,265,902.44
