page|103
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|862,509,299.72|703,004,243.23
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|2,358,403.31|
收到其他与经营活动有关的现金|9,560,250.85|22,326,824.18
经营活动现金流入小计|874,427,953.88|725,331,067.41
购买商品、接受劳务支付的现金|537,577,405.69|503,213,859.63
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|152,549,395.20|127,383,751.45
支付的各项税费|16,181,227.35|25,334,253.13
page|104
支付其他与经营活动有关的现金|58,641,345.70|54,189,047.51
经营活动现金流出小计|764,949,373.94|710,120,911.72
经营活动产生的现金流量净额|109,478,579.94|15,210,155.69
二、投资活动产生的现金流量：||
收回投资收到的现金|815,000,000.00|1,240,000,000.00
取得投资收益收到的现金|6,016,186.02|9,319,490.26
处置固定资产、无形资产和其他长期资产收回的现金净额|4,083.06|4,980.00
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金||
投资活动现金流入小计|821,020,269.08|1,249,324,470.26
购建固定资产、无形资产和其他长期资产支付的现金|86,036,395.96|59,633,501.32
投资支付的现金|765,000,000.00|1,105,000,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金||
投资活动现金流出小计|851,036,395.96|1,164,633,501.32
投资活动产生的现金流量净额|-30,016,126.88|84,690,968.94
三、筹资活动产生的现金流量：||
吸收投资收到的现金||
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金||
收到其他与筹资活动有关的现金|1,900,640.71|3,576,300.38
筹资活动现金流入小计|1,900,640.71|3,576,300.38
偿还债务支付的现金||50,000,000.00
分配股利、利润或偿付利息支付的现金|52,001,625.00|32,103,708.33
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金|1,153,927.72|1,642,444.98
筹资活动现金流出小计|53,155,552.72|83,746,153.31
筹资活动产生的现金流量净额|-51,254,912.01|-80,169,852.93
page|105
四、汇率变动对现金及现金等价物的影响||
五、现金及现金等价物净增加额|28,207,541.05|19,731,271.70
加：期初现金及现金等价物余额|383,121,040.12|363,389,768.42
六、期末现金及现金等价物余额|411,328,581.17|383,121,040.12
