page|105
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金||173,658,288.68|414,291,586.81
结算备付金|||
拆出资金|||
交易性金融资产||530,512,794.50|110,000,000.00
衍生金融资产|||
应收票据||17,778,888.33|
应收账款||296,216,914.19|274,830,375.16
应收款项融资||21,937,310.97|65,163,409.45
预付款项||6,095,869.43|4,913,517.00
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||8,586,616.11|1,933,444.08
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货||328,315,448.54|285,235,646.28
合同资产|||
持有待售资产|||
一年内到期的非流动资产||10,000,000.00|
其他流动资产||26,481,518.46|18,737,705.39
流动资产合计||1,419,583,649.21|1,175,105,684.17
非流动资产：|||
发放贷款和垫款|||
债权投资|||10,000,000.00
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产||29,465,399.04|10,000,000.00
投资性房地产|||
固定资产||190,092,315.70|203,899,498.40
在建工程||137,702,522.13|22,552,426.53
生产性生物资产|||
油气资产|||
使用权资产||2,103,183.20|
无形资产||72,497,595.71|73,277,969.35
开发支出|||
商誉|||
page|106
长期待摊费用||2,438,071.13|3,313,847.75
递延所得税资产||5,380,339.32|5,425,764.56
其他非流动资产||29,245,789.29|7,063,477.21
非流动资产合计||468,925,215.52|335,532,983.80
资产总计||1,888,508,864.73|1,510,638,667.97
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据||159,798,830.89|115,842,939.83
应付账款||311,162,194.80|258,253,518.54
预收款项|||
合同负债||44,125,629.25|32,970,709.80
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||17,172,717.95|15,114,486.13
应交税费||10,000,828.73|8,902,427.22
其他应付款||3,186,130.12|8,225,487.26
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债||1,627,282.50|
其他流动负债||2,696,788.12|1,203,626.30
流动负债合计||549,770,402.36|440,513,195.08
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债||197,340.57|
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益||7,497,093.46|8,661,361.46
递延所得税负债|||
其他非流动负债|||
非流动负债合计||7,694,434.03|8,661,361.46
负债合计||557,464,836.39|449,174,556.54
所有者权益（或股东权益）：|||
实收资本（或股本）||295,721,200.00|266,800,000.00
其他权益工具|||
page|107
其中：优先股|||
永续债|||
资本公积||481,440,828.70|323,729,340.70
减：库存股|||5,719,212.00
其他综合收益||-5,033,590.88|807,597.49
专项储备|||
盈余公积||78,540,470.54|65,697,953.80
一般风险准备|||
未分配利润||480,375,119.98|410,148,431.44
归属于母公司所有者权益（或股东权益）合计||1,331,044,028.34|1,061,464,111.43
少数股东权益|||
所有者权益（或股东权益）合计||1,331,044,028.34|1,061,464,111.43
负债和所有者权益（或股东权益）总计||1,888,508,864.73|1,510,638,667.97
