page|75
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|七、1|2,076,426,425.26|1,436,568,497.77
结算备付金|||
拆出资金|||
交易性金融资产|七、2|524,774,804.78|
衍生金融资产|||
应收票据|七、4|121,501,031.53|28,500,000.00
应收账款|七、5|993,061,538.59|1,031,153,012.19
应收款项融资|七、6|739,456,341.92|666,251,815.48
预付款项|七、7|17,178,409.64|22,797,568.56
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|12,995,861.64|8,483,468.10
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|425,113,631.17|322,192,370.94
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|46,552,529.76|28,580,174.70
流动资产合计||4,957,060,574.29|3,544,526,907.74
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|七、17||18,036,247.55
其他权益工具投资|七、18|88,190,055.28|49,127,787.03
其他非流动金融资产|||
投资性房地产|||
固定资产|七、21|857,568,449.28|840,393,459.36
在建工程|七、22|140,234,191.81|56,846,076.01
生产性生物资产|||
油气资产|||
使用权资产|七、25|2,731,307.52|
无形资产|七、26|68,848,569.05|61,711,830.56
开发支出|||
商誉|七、28|1,821,386.63|1,821,386.63
page|76
长期待摊费用|七、29|52,122.74|61,924.24
递延所得税资产|七、30|68,991,188.50|59,442,222.16
其他非流动资产|七、31|66,272,905.64|40,391,767.62
非流动资产合计||1,294,710,176.45|1,127,832,701.16
资产总计||6,251,770,750.74|4,672,359,608.90
流动负债：|||
短期借款|七、32|130,392,836.45|8,008,066.67
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七、35|587,860,366.38|495,560,715.45
应付账款|七、36|759,670,895.64|812,225,304.12
预收款项|||
合同负债|七、38|4,884,407.57|6,028,154.90
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|71,398,847.37|77,232,220.50
应交税费|七、40|39,281,807.13|43,482,755.48
其他应付款|七、41|45,499,219.02|24,943,486.66
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|21,454,009.44|6,431,975.00
其他流动负债|七、44|112,865,822.66|
流动负债合计||1,773,308,211.66|1,473,912,678.78
非流动负债：|||
保险合同准备金|||
长期借款|七、45|-|20,000,000.00
应付债券|七、46|754,736,616.30|
其中：优先股|||
永续债|||
租赁负债|七、47|1,280,160.19|
长期应付款|||
长期应付职工薪酬|||
预计负债|七、50|53,798,305.28|48,810,772.52
递延收益|七、51|116,733,138.21|112,948,057.89
递延所得税负债|七、30|40,042,210.72|34,988,768.82
其他非流动负债|七、52|16,330,000.00|37,697,200.00
非流动负债合计||982,920,430.70|254,444,799.23
负债合计||2,756,228,642.36|1,728,357,478.01
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|408,446,000.00|408,561,000.00
page|77
其他权益工具|七、54|157,675,648.51|
其中：优先股|||
永续债|||
资本公积|七、55|808,476,050.19|666,868,151.85
减：库存股|七、56|29,382,791.45|30,221,141.45
其他综合收益|七、57|49,677,247.62|17,170,740.11
专项储备|七、58|21,180,441.90|8,477,240.68
盈余公积|七、59|202,246,119.19|161,229,403.48
一般风险准备|||
未分配利润|七、60|1,877,223,392.42|1,461,795,981.45
归属于母公司所有者权益（或股东权益）合计||3,495,542,108.38|2,693,881,376.12
少数股东权益|||250,120,754.77
所有者权益（或股东权益）合计||3,495,542,108.38|2,944,002,130.89
负债和所有者权益（或股东权益）总计||6,251,770,750.74|4,672,359,608.90
