page|128
项目|2021 年度|2020 年度
一、营业总收入|1,861,403,828.65|1,425,518,877.92
其中：营业收入|1,861,403,828.65|1,425,518,877.92
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|1,429,073,912.85|1,099,032,370.04
其中：营业成本|1,149,091,453.63|845,828,146.79
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|6,685,998.99|6,531,346.47
销售费用|37,924,483.48|63,803,606.21
管理费用|98,847,248.46|72,774,404.15
研发费用|110,697,776.17|78,161,649.98
财务费用|25,826,952.12|31,933,216.44
其中：利息费用|21,884,159.91|9,224,983.90
利息收入|11,836,808.17|9,924,192.56
加：其他收益|8,658,230.71|11,083,070.62
投资收益（损失以“－”号填列）|561,773.07|
其中：对联营企业和合营企业的投资收益||
以摊余成本计量的金融资产终止确认收益||
page|129
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-2,321,676.39|-8,463,749.40
资产减值损失（损失以“-”号填列）|-171,769.44|
资产处置收益（损失以“-”号填列）|-17,881.87|73,063.81
三、营业利润（亏损以“－”号填列）|439,038,591.88|329,178,892.91
加：营业外收入|90,800.34|37,658.62
减：营业外支出|864,788.41|100,760.43
四、利润总额（亏损总额以“－”号填列）|438,264,603.81|329,115,791.10
减：所得税费用|49,313,159.99|39,864,602.12
五、净利润（净亏损以“－”号填列）|388,951,443.82|289,251,188.98
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|388,951,443.82|289,251,188.98
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|388,951,443.82|289,251,188.98
2.少数股东损益||
六、其他综合收益的税后净额|-1,610,132.39|-1,436,668.09
归属母公司所有者的其他综合收益的税后净额|-1,610,132.39|-1,436,668.09
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|-1,610,132.39|-1,436,668.09
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额|-1,610,132.39|-1,436,668.09
7.其他||
page|130
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|387,341,311.43|287,814,520.89
归属于母公司所有者的综合收益总额|387,341,311.43|287,814,520.89
归属于少数股东的综合收益总额||
八、每股收益：||
（一）基本每股收益|0.96|0.71
（二）稀释每股收益|0.92|0.71
