page|98
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|1,415,558,250.78|321,351,285.86
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产|1,198,435.40|
应收票据||
应收账款|161,971,458.15|155,421,218.80
应收款项融资||
预付款项|5,487,202.05|12,296,509.88
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|417,995.61|13,341.47
其中：应收利息||
应收股利||
买入返售金融资产||
存货|142,634,911.84|101,311,066.72
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|15,393,128.62|14,867,734.96
流动资产合计|1,742,661,382.45|605,261,157.69
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资||
page|99
其他权益工具投资||
其他非流动金融资产||
投资性房地产||
固定资产|238,979,173.85|158,886,451.07
在建工程|6,858,018.27|53,194,745.15
生产性生物资产||
油气资产||
使用权资产|30,503,317.34|
无形资产|29,419,178.56|30,298,332.57
开发支出||
商誉||
长期待摊费用||
递延所得税资产|3,778,798.66|3,744,340.23
其他非流动资产|326,955.30|7,110,113.70
非流动资产合计|309,865,441.98|253,233,982.72
资产总计|2,052,526,824.43|858,495,140.41
流动负债：||
短期借款||45,030,708.34
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|118,746,265.84|184,627,317.88
应付账款|132,968,844.36|131,260,364.32
预收款项||
合同负债|11,220,729.46|940,545.42
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|10,465,052.54|10,533,104.20
应交税费|8,478,248.20|3,287,161.12
其他应付款|4,052,335.60|7,078,301.31
其中：应付利息||
page|100
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|5,356,597.25|
其他流动负债|104,590.84|54,033.33
流动负债合计|291,392,664.09|382,811,535.92
非流动负债：||
保险合同准备金||
长期借款|5,493,402.85|5,248,402.81
应付债券||
其中：优先股||
永续债||
租赁负债|29,107,233.75|
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|14,803,122.45|18,354,798.01
递延所得税负债|18,298,730.78|10,528,570.51
其他非流动负债||
非流动负债合计|67,702,489.83|34,131,771.33
负债合计|359,095,153.92|416,943,307.25
所有者权益：||
股本|81,209,818.00|60,907,360.00
其他权益工具||
其中：优先股||
永续债||
资本公积|1,013,298,600.73|1,769,633.82
减：库存股||
其他综合收益||
专项储备||
盈余公积|66,730,706.19|44,725,864.95
一般风险准备||
未分配利润|532,192,545.59|334,148,974.39
page|101
归属于母公司所有者权益合计|1,693,431,670.51|441,551,833.16
少数股东权益||
所有者权益合计|1,693,431,670.51|441,551,833.16
负债和所有者权益总计|2,052,526,824.43|858,495,140.41
