page|83
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|662,626,998.80|596,519,061.24
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还||316,985.34
收到其他与经营活动有关的现金|65,142,127.11|29,456,223.69
经营活动现金流入小计|727,769,125.91|626,292,270.27
购买商品、接受劳务支付的现金|286,405,973.34|232,683,458.94
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
page|84
支付保单红利的现金||
支付给职工以及为职工支付的现金|255,368,565.41|187,661,066.11
支付的各项税费|65,487,383.50|25,251,203.58
支付其他与经营活动有关的现金|127,118,372.56|66,919,294.27
经营活动现金流出小计|734,380,294.81|512,515,022.90
经营活动产生的现金流量净额|-6,611,168.90|113,777,247.37
二、投资活动产生的现金流量：||
收回投资收到的现金|8,000,000.00|5,000,000.00
取得投资收益收到的现金|47,753.42|151,909.99
处置固定资产、无形资产和其他长期资产收回的现金净额|208,621.60|300,380.00
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金|38,450,000.00|
投资活动现金流入小计|46,706,375.02|5,452,289.99
购建固定资产、无形资产和其他长期资产支付的现金|57,682,626.88|213,150,338.10
投资支付的现金||25,000,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金||
投资活动现金流出小计|57,682,626.88|238,150,338.10
投资活动产生的现金流量净额|-10,976,251.86|-232,698,048.11
三、筹资活动产生的现金流量：||
吸收投资收到的现金||
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金|236,093,524.02|236,995,036.29
收到其他与筹资活动有关的现金||
筹资活动现金流入小计|236,093,524.02|236,995,036.29
偿还债务支付的现金|162,557,740.15|113,295,881.39
分配股利、利润或偿付利息支付的现金|51,718,528.81|52,129,510.57
其中：子公司支付给少数股东的股利、利润||4,894,556.85
支付其他与筹资活动有关的现金|3,602,468.88|1,498,800.00
page|85
筹资活动现金流出小计|217,878,737.84|166,924,191.96
筹资活动产生的现金流量净额|18,214,786.18|70,070,844.33
四、汇率变动对现金及现金等价物的影响||
五、现金及现金等价物净增加额|627,365.42|-48,849,956.41
加：期初现金及现金等价物余额|178,756,225.52|227,606,181.93
六、期末现金及现金等价物余额|179,383,590.94|178,756,225.52
