page|95
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|60,937,167.42|155,981,595.90
结算备付金||
拆出资金||
交易性金融资产|70,086,664.38|
衍生金融资产||
应收票据||
应收账款|70,609,131.76|63,854,831.62
应收款项融资|1,785,254.00|3,751,347.50
预付款项|2,390,888.47|2,157,421.50
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|4,356,952.63|2,460,986.68
其中：应收利息||
应收股利||
买入返售金融资产||
存货|86,367,051.25|70,588,360.85
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|31,972,840.37|35,824,535.05
流动资产合计|328,505,950.28|334,619,079.10
非流动资产：||
发放贷款和垫款||
债权投资||
page|96
其他债权投资||
长期应收款||
长期股权投资||
其他权益工具投资||
其他非流动金融资产|4,500,000.00|4,500,000.00
投资性房地产||
固定资产|147,763,529.64|154,553,913.25
在建工程|41,334,130.45|7,871,115.83
生产性生物资产||
油气资产||
使用权资产||
无形资产|32,602,358.73|33,669,232.17
开发支出||
商誉||
长期待摊费用|1,393,681.61|2,072,462.92
递延所得税资产|5,496,630.60|7,860,321.15
其他非流动资产|7,783,213.44|939,838.80
非流动资产合计|240,873,544.47|211,466,884.12
资产总计|569,379,494.75|546,085,963.22
流动负债：||
短期借款||
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据||
应付账款|23,276,741.55|8,439,467.50
预收款项||
合同负债|405,441.83|335,578.37
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|4,712,769.96|3,639,271.41
page|97
应交税费|443,291.63|1,097,010.92
其他应付款|2,862,768.40|1,342,768.28
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债||
流动负债合计|31,701,013.37|14,854,096.48
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|14,756,636.58|16,352,941.28
递延所得税负债|695,395.77|783,742.61
其他非流动负债||
非流动负债合计|15,452,032.35|17,136,683.89
负债合计|47,153,045.72|31,990,780.37
所有者权益：||
股本|74,555,000.00|57,350,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|226,638,022.81|243,843,022.81
减：库存股||
其他综合收益||
专项储备|6,277,716.91|4,228,645.66
page|98
盈余公积|27,461,194.54|25,772,404.17
一般风险准备||
未分配利润|187,294,514.77|182,901,110.21
归属于母公司所有者权益合计|522,226,449.03|514,095,182.85
少数股东权益||
所有者权益合计|522,226,449.03|514,095,182.85
负债和所有者权益总计|569,379,494.75|546,085,963.22
