page|109
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|417,542,260.42|407,615,459.51
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|20,958,715.26|11,609,132.69
收到其他与经营活动有关的现金|6,550,400.70|14,069,490.07
经营活动现金流入小计|445,051,376.38|433,294,082.27
购买商品、接受劳务支付的现金|269,121,337.26|166,221,613.05
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
page|110
支付保单红利的现金||
支付给职工以及为职工支付的现金|85,501,503.67|63,776,012.69
支付的各项税费|18,811,152.62|26,010,830.89
支付其他与经营活动有关的现金|51,111,423.77|42,149,290.60
经营活动现金流出小计|424,545,417.32|298,157,747.23
经营活动产生的现金流量净额|20,505,959.06|135,136,335.04
二、投资活动产生的现金流量：||
收回投资收到的现金|721,070,000.00|186,960,000.00
取得投资收益收到的现金|5,535,003.30|3,711,265.40
处置固定资产、无形资产和其他长期资产收回的现金净额|25,000.00|27,600.00
处置子公司及其他营业单位收到的现金净额|0.00|0.00
收到其他与投资活动有关的现金|0.00|0.00
投资活动现金流入小计|726,630,003.30|190,698,865.40
购建固定资产、无形资产和其他长期资产支付的现金|60,168,188.93|5,007,274.63
投资支付的现金|1,214,070,000.00|186,960,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金|0.00|0.00
投资活动现金流出小计|1,274,238,188.93|191,967,274.63
投资活动产生的现金流量净额|-547,608,185.63|-1,268,409.23
三、筹资活动产生的现金流量：||
吸收投资收到的现金|574,649,755.52|0.00
其中：子公司吸收少数股东投资收到的现金|0.00|0.00
取得借款收到的现金|0.00|10,000,000.00
收到其他与筹资活动有关的现金|146,844,882.84|132,557,898.67
筹资活动现金流入小计|721,494,638.36|142,557,898.67
偿还债务支付的现金|10,000,000.00|10,000,000.00
分配股利、利润或偿付利息支付的现金|217,583.31|135,187.49
其中：子公司支付给少数股东的|0.00|0.00
page|111
股利、利润||
支付其他与筹资活动有关的现金|159,228,822.34|154,006,728.18
筹资活动现金流出小计|169,446,405.65|164,141,915.67
筹资活动产生的现金流量净额|552,048,232.71|-21,584,017.00
四、汇率变动对现金及现金等价物的影响|-1,479,327.21|-2,459,082.53
五、现金及现金等价物净增加额|23,466,678.93|109,824,826.28
加：期初现金及现金等价物余额|129,608,773.59|19,783,947.31
六、期末现金及现金等价物余额|153,075,452.52|129,608,773.59
