page|87
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|3,390,296,283.|2,574,644,935.8
客户存款和同业存放款项净增加额|76|6
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
page|88
收到的税费返还|74,487,290.75|67,024,153.75
收到其他与经营活动有关的现金|41,046,398.51|88,378,067.88
经营活动现金流入小计|3,505,829,973.|2,730,047,157.4
购买商品、接受劳务支付的现金|1,615,953,377.02|1,048,947,571.99
客户贷款及垫款净增加额|07|4
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|810,612,522.09|681,880,424.66
支付的各项税费|277,203,558.51|204,106,211.38
支付其他与经营活动有关的现金|167,627,022.42|185,554,137.30
经营活动现金流出小计|2,871,396,480.|2,120,488,345.2
经营活动产生的现金流量净额|634,433,492.93|609,558,812.21
二、投资活动产生的现金流量：||
收回投资收到的现金|25,000,000.00|243,000,000.00
取得投资收益收到的现金|329,975.97|606,962.83
处置固定资产、无形资产和其他长期资产收回的|4,247,711.96|2,807,720.47
处置子公司及其他营业单位收到的现金净额||278,638,883.27
收到其他与投资活动有关的现金||163,134,564.39
投资活动现金流入小计|29,577,687.93|688,188,130.96
购建固定资产、无形资产和其他长期资产支付的|449,653,055.23|328,826,427.17
投资支付的现金|76,848,945.70|224,510,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金||10,785,000.00
投资活动现金流出小计|526,502,000.93|564,121,427.17
投资活动产生的现金流量净额|-496,924,313.0|124,066,703.79
三、筹资活动产生的现金流量：|0|
page|89
吸收投资收到的现金|103,680,000.00|52,598,500.00
其中：子公司吸收少数股东投资收到的现金|6,000,000.00|
取得借款收到的现金|524,194,000.00|540,403,897.73
收到其他与筹资活动有关的现金||
筹资活动现金流入小计|627,874,000.00|593,002,397.73
偿还债务支付的现金|423,283,670.19|688,746,029.80
分配股利、利润或偿付利息支付的现金|324,022,138.72|323,345,240.06
其中：子公司支付给少数股东的股利、利润|3,585,825.51|7,879,200.00
支付其他与筹资活动有关的现金|42,031,313.47|
筹资活动现金流出小计||789,337,122.38  1,012,091,269.8
筹资活动产生的现金流量净额|-161,463,122.3|-419,088,872.13
四、汇率变动对现金及现金等价物的影响|-15,149,029.41|-11,098,925.70
五、现金及现金等价物净增加额|-39,102,971.86|303,437,718.17
加：期初现金及现金等价物余额|662,067,536.47|358,629,818.30
六、期末现金及现金等价物余额|622,964,564.61|662,067,536.47
