page|145
项目|附 注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金||808,707,595.45|844,754,945.82
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|||
应收票据|||
应收账款||51,100,618.92|14,766,601.52
应收款项融资|||
预付款项||14,793,091.38|5,292,269.80
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||10,207,868.74|7,700,123.68
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货||112,759,161.50|72,551,167.97
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产||12,727,717.06|12,556,131.44
流动资产合计||1,010,296,053.05|957,621,240.23
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|||
固定资产||207,192,231.93|156,406,147.16
在建工程||86,946,698.70|52,885,145.84
生产性生物资产|||
油气资产|||
使用权资产||4,006,202.31|
无形资产||96,361,338.25|96,112,883.66
page|146
开发支出|||
商誉||51,505,395.59|11,024,298.12
长期待摊费用||2,029,868.61|2,465,040.51
递延所得税资产||268,964.43|2,396,976.06
其他非流动资产||15,846,828.38|10,628,304.04
非流动资产合计||464,157,528.20|331,918,795.39
资产总计||1,474,453,581.25|1,289,540,035.62
流动负债：|||
短期借款|||2,098,499.10
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|||
应付账款||79,062,814.80|56,831,581.38
预收款项|||
合同负债||21,581,968.81|17,078,934.02
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||26,743,827.98|28,496,303.24
应交税费||22,759,208.17|8,436,541.50
其他应付款||48,029,715.11|17,967,511.24
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债||3,520,795.61|
其他流动负债||2,232,205.02|1,783,889.94
流动负债合计||203,930,535.50|132,693,260.42
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债||610,846.90|
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益||11,960,063.01|13,286,986.25
递延所得税负债|||
其他非流动负债|||
非流动负债合计||12,570,909.91|13,286,986.25
负债合计||216,501,445.41|145,980,246.67
page|147
所有者权益（或股东权益）：|||
实收资本（或股本）||422,200,000.00|422,200,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||481,772,348.38|484,486,246.65
减：库存股|||
其他综合收益|||
专项储备|||
盈余公积||40,667,186.58|33,154,938.42
一般风险准备|||
未分配利润||310,792,871.58|203,109,656.13
归属于母公司所有者权益（或股东权益）合计||1,255,432,406.54|1,142,950,841.20
少数股东权益||2,519,729.30|608,947.75
所有者权益（或股东权益）合计||1,257,952,135.84|1,143,559,788.95
负债和所有者权益（或股东权益）总计||1,474,453,581.25|1,289,540,035.62
