page|83
项目|附注|2021 年度|2020 年度
一、营业总收入|||21,320,191,631.25  19,796,854,240.57
其中：营业收入|七、42||21,320,191,631.25  19,796,854,240.57
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|||20,882,416,601.12  19,311,170,358.16
其中：营业成本|七、42||19,596,553,910.59  18,268,652,583.25
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、43|64,881,618.06|54,989,697.34
销售费用|七、44|2,751,179.72|3,911,370.48
管理费用|七、45|574,419,859.89|496,079,353.22
研发费用|七、46|510,025,014.08|354,433,583.59
财务费用|七、47|133,785,018.78|133,103,770.28
其中：利息费用||163,438,926.98|163,540,782.69
利息收入||34,519,906.46|32,068,088.14
加：其他收益|七、48|31,227,231.99|16,304,278.90
投资收益（损失以“－”号填列）|七、49|8,988,969.00|-47,401,126.76
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|七、50|-26,841,725.32|-143,847,146.60
资产减值损失（损失以“-”号填列）|七、51|-16,903,101.39|18,899,223.94
page|84
资产处置收益（损失以“－”号填列）|七、52|70,596,432.19|3,031,860.50
三、营业利润（亏损以“－”号填列）||504,842,836.60|332,670,972.39
加：营业外收入|七、53|13,290,131.64|13,700,556.06
减：营业外支出|七、54|5,986,171.38|3,945,098.93
四、利润总额（亏损总额以“－”号填列）||512,146,796.86|342,426,429.52
减：所得税费用|七、55|69,621,379.27|45,103,881.95
五、净利润（净亏损以“－”号填列）||442,525,417.59|297,322,547.57
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||442,525,417.59|297,322,547.57
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||415,745,740.78|279,589,539.24
2.少数股东损益（净亏损以“-”号填列）||26,779,676.81|17,733,008.33
六、其他综合收益的税后净额|||6,374,010.44
（一）归属母公司所有者的其他综合收益的税后净额|||5,534,996.90
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||5,534,996.90
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||5,534,996.90
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||839,013.54
page|85
七、综合收益总额||442,525,417.59|303,696,558.01
（一）归属于母公司所有者的综合收益总额||415,745,740.78|285,124,536.14
（二）归属于少数股东的综合收益总额||26,779,676.81|18,572,021.87
八、每股收益：|||
（一）基本每股收益(元/股)|十七、2|0.4038|0.2687
（二）稀释每股收益(元/股)|十七、2|0.3929|0.2552
