page|109
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|七、1|2,201,693,839.77|1,879,291,489.49
结算备付金|||
拆出资金|||
交易性金融资产|七、2|475,497,569.85|200,000,000.00
衍生金融资产|||
应收票据|七、4|1,440,269.00|182,294,103.50
应收账款|七、5|1,819,718,916.35|1,740,185,449.00
应收款项融资|七、6|215,399,888.61|280,278,321.62
预付款项|七、7|162,605,204.82|154,234,439.63
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|51,292,419.57|55,239,487.45
其中：应收利息|七、8||337,302.43
应收股利|||
买入返售金融资产|||
存货|七、9|717,265,095.79|894,610,499.75
合同资产|七、10|2,189,716,379.32|2,033,220,844.10
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|367,277,479.70|645,704,979.30
流动资产合计||8,201,907,062.78|8,065,059,613.84
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|七、16|1,400,000.00|
长期股权投资|七、17|1,262,007,900.74|1,182,198,213.57
其他权益工具投资|七、18|2,275,417,403.50|2,815,364,000.00
其他非流动金融资产|||
投资性房地产|七、20|9,269,817.51|5,462,835.21
固定资产|七、21|3,722,764,628.45|3,133,273,554.62
在建工程|七、22|578,863,654.82|1,532,815,700.66
生产性生物资产|||
油气资产|||
使用权资产|七、25|77,310,157.25|
无形资产|七、26|2,713,864,869.41|1,047,353,846.37
开发支出|||
商誉|七、28||
长期待摊费用|七、29|52,468,365.62|81,332,546.56
递延所得税资产|七、30|203,116,657.94|197,690,258.84
page|110
其他非流动资产|七、31|549,809,247.95|467,416,853.42
非流动资产合计||11,446,292,703.19|10,462,907,809.25
资产总计||19,648,199,765.97|18,527,967,423.09
流动负债：|||
短期借款|七、32|944,634,955.59|1,509,613,098.88
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七、35|743,903,428.50|952,926,942.04
应付账款|七、36|3,348,263,310.37|3,315,221,444.31
预收款项|七、37|2,380,693.79|2,500,410.74
合同负债|七、38|856,011,760.96|1,098,067,878.94
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|237,861,955.13|143,526,027.67
应交税费|七、40|142,343,932.98|149,560,898.91
其他应付款|七、41|719,705,946.34|180,986,772.47
其中：应付利息|||
应付股利||230,798,040.66|5,899,940.66
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|330,453,046.79|362,409,935.70
其他流动负债|七、44|154,907,305.50|262,299,549.68
流动负债合计||7,480,466,335.95|7,977,112,959.34
非流动负债：|||
保险合同准备金|||
长期借款|七、45|1,898,830,000.00|1,415,156,074.39
应付债券|七、46|1,000,000,000.00|
其中：优先股|||
永续债|||
租赁负债|七、47|39,229,068.81|
长期应付款|七、48|343,456,218.35|42,700,000.00
长期应付职工薪酬|||
预计负债|七、50|5,555,300.85|4,856,052.16
递延收益|七、51|188,470,906.77|173,336,322.71
递延所得税负债||161,032,018.06|264,617,469.90
其他非流动负债|七、52|38,231,101.43|38,018,749.03
非流动负债合计||3,674,804,614.27|1,938,684,668.19
负债合计||11,155,270,950.22|9,915,797,627.53
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|726,826,374.00|559,392,211.00
其他权益工具|||
其中：优先股|||
永续债|||
page|111
资本公积|七、55|175,214,052.23|426,232,228.31
减：库存股|七、56|96,837,883.02|104,230,934.72
其他综合收益|七、57|1,419,823,819.32|1,924,818,535.04
专项储备|七、58|450,229.87|62,898.12
盈余公积|七、59|370,113,062.05|296,190,545.99
一般风险准备|||
未分配利润|七、60|4,671,699,324.55|4,482,073,040.26
归属于母公司所有者权益（或股东权益）合计||7,267,288,979.00|7,584,538,524.00
少数股东权益||1,225,639,836.75|1,027,631,271.56
所有者权益（或股东权益）合计||8,492,928,815.75|8,612,169,795.56
负债和所有者权益（或股东权益）总计||19,648,199,765.97|18,527,967,423.09
