page|97
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|370,172,725.65|76,579,372.53
结算备付金||
拆出资金||
交易性金融资产|200,381,069.44|
衍生金融资产|361,415.14|106,999.00
应收票据||
应收账款|155,758,049.38|142,716,142.08
应收款项融资|611,570.00|355,454.00
预付款项|2,435,670.87|4,463,137.69
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|11,500,783.95|9,327,254.63
其中：应收利息||
page|98
应收股利||
买入返售金融资产||
存货|124,124,803.82|80,434,638.19
合同资产|78,878.76|251,674.03
持有待售资产||
一年内到期的非流动资产||
其他流动资产|2,609,746.99|114,296.70
流动资产合计|868,034,714.00|314,348,968.85
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||202,000.00
长期股权投资||
其他权益工具投资||
其他非流动金融资产||
投资性房地产||
固定资产|39,862,602.38|35,563,327.67
在建工程|49,324,620.01|0.00
生产性生物资产||
油气资产||
使用权资产|30,924,239.69|0.00
无形资产|78,393,009.67|13,737,865.59
开发支出||
商誉||
长期待摊费用|7,220,755.19|8,339,458.94
递延所得税资产|1,277,212.52|1,075,284.01
其他非流动资产|749,296.00|562,383.00
非流动资产合计|207,751,735.46|59,480,319.21
资产总计|1,075,786,449.46|373,829,288.06
流动负债：||
短期借款|39,542,179.71|37,094,340.91
向中央银行借款||
拆入资金||
page|99
交易性金融负债||
衍生金融负债||
应付票据||
应付账款|147,007,101.97|128,375,588.48
预收款项||
合同负债|15,575,127.76|6,279,934.77
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|10,489,453.03|7,969,126.11
应交税费|4,625,213.40|3,687,919.68
其他应付款|4,628,373.50|3,041,379.90
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|8,487,911.81|645,837.00
其他流动负债|282,566.81|32,234.62
流动负债合计|230,637,927.99|187,126,361.47
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债|22,331,308.85|0.00
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益||
递延所得税负债|0.00|16,049.85
其他非流动负债||
page|100
非流动负债合计|22,331,308.85|16,049.85
负债合计|252,969,236.84|187,142,411.32
所有者权益：||
股本|54,020,000.00|40,510,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|600,277,259.57|31,157,633.50
减：库存股||
其他综合收益||
专项储备||
盈余公积|22,631,424.14|17,477,523.68
一般风险准备||
未分配利润|145,888,528.91|97,541,719.56
归属于母公司所有者权益合计|822,817,212.62|186,686,876.74
少数股东权益||
所有者权益合计|822,817,212.62|186,686,876.74
负债和所有者权益总计|1,075,786,449.46|373,829,288.06
