page|74
项目|附注|2021 年度|2020 年度
一、营业总收入||2,537,098,601.10|2,315,175,744.25
其中：营业收入||2,537,098,601.10|2,315,175,744.25
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||2,544,139,829.95|2,273,072,446.32
其中：营业成本||1,719,630,646.67|1,545,665,237.31
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||19,476,809.90|19,716,695.75
销售费用||301,073,047.48|272,235,747.90
管理费用||272,634,010.33|227,654,068.71
研发费用||224,916,640.64|197,891,996.78
财务费用||6,408,674.93|9,908,699.87
其中：利息费用||7,520,025.18|8,726,794.38
利息收入||-2,414,070.19|2,319,532.07
加：其他收益||62,138,742.09|43,591,287.35
投资收益（损失以“－”号填列）||86,091,746.45|61,807,026.94
其中：对联营企业和合营企业的投资收益||67,482,752.98|56,180,942.57
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||-56,498,336.31|-56,829,225.63
资产减值损失（损失以“-”号填列）||-13,111,668.06|-20,623,187.58
资产处置收益（损失以“－”||1,219,692.16|1,036,407.76
page|75
号填列）|||
三、营业利润（亏损以“－”号填列）||72,798,947.48|71,085,606.77
加：营业外收入||10,476,270.27|8,201,773.63
减：营业外支出||1,096,885.47|9,487,908.04
四、利润总额（亏损总额以“－”号填列）||82,178,332.28|69,799,472.36
减：所得税费用||9,795,920.66|-13,719,859.86
五、净利润（净亏损以“－”号填列）||72,382,411.62|83,519,332.22
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||72,382,411.62|83,519,332.22
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||91,936,469.01|57,228,242.63
2.少数股东损益（净亏损以“-”号填列）||-19,554,057.39|26,291,089.59
六、其他综合收益的税后净额||-52,728.16|2,653,067.27
（一）归属母公司所有者的其他综合收益的税后净额||-86,784.17|1,880,213.23
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-86,784.17|1,880,213.23
（1）权益法下可转损益的其他综合收益||-168,915.81|-138,428.94
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||82,131.64|176,396.28
page|76
（7）其他|||1,842,245.89
（二）归属于少数股东的其他综合收益的税后净额||34,056.01|772,854.04
七、综合收益总额||72,329,683.46|86,172,399.49
（一）归属于母公司所有者的综合收益总额||91,849,684.84|59,108,455.86
（二）归属于少数股东的综合收益总额||-19,520,001.38|27,063,943.63
八、每股收益：|||
（一）基本每股收益(元/股)||0.2105|0.1310
（二）稀释每股收益(元/股)||0.2105|0.1310
