page|114
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|790,362,104.56|268,091,939.44
结算备付金||
拆出资金||
交易性金融资产|459,928,091.82|371,865,720.54
衍生金融资产||
应收票据|115,043,213.23|89,197,323.37
应收账款|1,233,007,209.80|889,060,361.23
应收款项融资|52,462,211.57|41,662,834.95
预付款项|22,789,949.52|25,383,321.48
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|21,776,300.84|14,653,012.72
其中：应收利息||
应收股利||
page|115
买入返售金融资产||
存货|802,371,472.63|438,365,227.07
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|241,897,289.02|133,454,484.52
流动资产合计|3,739,637,842.99|2,271,734,225.32
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资||
其他权益工具投资||
其他非流动金融资产||
投资性房地产||
固定资产|2,973,647,837.59|1,581,178,340.63
在建工程|211,334,155.21|334,212,475.23
生产性生物资产||
油气资产||
使用权资产|68,756,582.65|
无形资产|193,536,491.95|163,228,815.38
开发支出||
商誉||
长期待摊费用|22,436,669.24|19,743,412.32
递延所得税资产|55,591,942.28|41,990,628.56
其他非流动资产|149,021,579.09|38,144,927.71
非流动资产合计|3,674,325,258.01|2,178,498,599.83
资产总计|7,413,963,101.00|4,450,232,825.15
流动负债：||
短期借款|413,590,902.78|129,831,168.18
向中央银行借款||
拆入资金||
交易性金融负债||
page|116
衍生金融负债||
应付票据|598,694,524.30|241,571,326.65
应付账款|1,788,347,040.30|1,052,904,424.28
预收款项||
合同负债|9,051,524.52|5,327,637.94
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|50,109,575.51|127,107,299.35
应交税费|12,512,657.05|18,582,234.16
其他应付款|143,287,285.68|74,528,162.86
其中：应付利息||
应付股利||2,123,836.95
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|12,887,119.38|
其他流动负债|1,176,698.18|692,181.12
流动负债合计|3,029,657,327.70|1,650,544,434.54
非流动负债：||
保险合同准备金||
长期借款|680,099,959.49|
应付债券||
其中：优先股||
永续债||
租赁负债|59,116,532.12|
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|120,327,332.28|44,101,251.02
递延所得税负债|1,489,213.48|2,533,807.51
其他非流动负债||
非流动负债合计|861,033,037.37|46,635,058.53
page|117
负债合计|3,890,690,365.07|1,697,179,493.07
所有者权益：||
股本|160,960,968.00|147,793,462.00
其他权益工具||
其中：优先股||
永续债||
资本公积|2,026,141,970.45|1,510,135,801.47
减：库存股|84,888,219.52|34,016,655.82
其他综合收益||
专项储备||
盈余公积|95,115,240.30|88,531,487.30
一般风险准备||
未分配利润|1,325,943,228.39|1,040,609,237.13
归属于母公司所有者权益合计|3,523,273,187.62|2,753,053,332.08
少数股东权益|-451.69|
所有者权益合计|3,523,272,735.93|2,753,053,332.08
负债和所有者权益总计|7,413,963,101.00|4,450,232,825.15
