page|90
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金||354,747,564.48|685,975,521.16
结算备付金|||
拆出资金|||
交易性金融资产||10,002,043.89|
衍生金融资产|||
应收票据||24,392,929.20|25,980,000.00
应收账款||586,176,584.48|358,056,293.83
应收款项融资||2,335,871.19|
预付款项||4,534,077.51|2,873,441.20
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||32,876,245.41|31,013,847.37
其中：应收利息|||
应收股利|||
page|91
买入返售金融资产|||
存货||68,936,555.85|39,594,923.85
合同资产||152,983,371.79|176,615,196.30
持有待售资产|||
一年内到期的非流动资产||3,835,831.74|3,271,000.59
其他流动资产||31,287,328.98|26,868,639.32
流动资产合计||1,272,108,404.52|1,350,248,863.62
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款||101,941,791.13|97,806,117.90
长期股权投资||72,772,535.43|53,422,818.87
其他权益工具投资||25,698,931.80|33,517,796.00
其他非流动金融资产|||
投资性房地产||2,070,619.82|2,205,198.26
固定资产||218,227,761.63|210,091,757.89
在建工程||97,447,115.12|14,395,954.93
生产性生物资产|||
油气资产|||
使用权资产||5,682,459.70|
无形资产||112,747,112.51|70,329,575.96
开发支出|||
商誉|||
长期待摊费用||4,723,986.44|1,798,059.94
递延所得税资产||14,564,657.15|8,344,340.08
其他非流动资产||21,119,641.00|670,617.68
非流动资产合计||676,996,611.73|492,582,237.51
资产总计||1,949,105,016.25|1,842,831,101.13
流动负债：|||
短期借款|||67,102,090.69
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据||52,804,428.49|48,258,490.72
应付账款||523,371,938.50|347,164,531.92
预收款项|||
合同负债||22,731,761.03|54,348,348.94
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||29,340,246.96|30,384,749.75
应交税费||33,040,201.91|33,325,367.07
其他应付款||16,599,999.69|34,591,253.11
其中：应付利息|||
应付股利|||
page|92
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债||29,840,637.36|17,200,000.00
其他流动负债||24,472,559.14|22,224,095.46
流动负债合计||732,201,773.08|654,598,927.66
非流动负债：|||
保险合同准备金|||
长期借款||102,533,036.44|96,329,120.70
应付债券|||
其中：优先股|||
永续债|||
租赁负债||4,279,937.38|
长期应付款||8,211,000.00|8,211,000.00
长期应付职工薪酬|||
预计负债||10,276,612.67|7,041,239.77
递延收益||3,372,235.17|
递延所得税负债||3,379.27|7,371.34
其他非流动负债|||
非流动负债合计||128,676,200.93|111,588,731.81
负债合计||860,877,974.01|766,187,659.47
所有者权益（或股东权益）：|||
实收资本（或股本）||131,689,675.00|131,689,675.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||666,255,989.41|666,255,989.41
减：库存股|||
其他综合收益||-7,228,284.57|
专项储备||580,944.76|480,469.20
盈余公积||33,886,830.89|29,402,298.74
一般风险准备|||
未分配利润||252,743,324.89|234,755,118.44
归属于母公司所有者权益（或股东权益）合计||1,077,928,480.38|1,062,583,550.79
少数股东权益||10,298,561.86|14,059,890.87
所有者权益（或股东权益）合计||1,088,227,042.24|1,076,643,441.66
负债和所有者权益（或股东权益）总计||1,949,105,016.25|1,842,831,101.13
