page|96
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|891,206,089.15|916,069,837.20
结算备付金||
拆出资金||
交易性金融资产|10,000,000.00|1,007,688.89
衍生金融资产||
应收票据|30,842,392.27|53,804,951.71
应收账款|943,007,959.36|856,279,905.20
page|97
应收款项融资|16,071,068.00|6,131,034.03
预付款项|48,526,580.02|24,500,732.62
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|33,689,849.82|24,377,799.49
其中：应收利息||
应收股利||
买入返售金融资产||
存货|998,816,623.34|660,932,267.67
合同资产|17,731,758.86|
持有待售资产||
一年内到期的非流动资产|262,299,434.86|
其他流动资产|125,232,193.72|236,232,024.40
流动资产合计|3,377,423,949.40|2,779,336,241.21
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资|841,927,259.57|720,326,878.67
其他权益工具投资||
其他非流动金融资产||
投资性房地产|34,634,828.69|35,014,501.20
固定资产|1,484,594,323.35|1,457,209,844.29
在建工程|671,201.26|2,201,537.24
生产性生物资产||
油气资产||
使用权资产|6,721,524.42|
无形资产|169,874,894.03|167,815,365.11
开发支出|17,073,576.94|22,791,496.99
商誉|337,403,346.65|339,980,031.67
长期待摊费用|47,066,687.73|54,383,367.11
递延所得税资产|34,317,109.29|25,024,482.84
page|98
其他非流动资产|82,345,701.72|316,002,969.30
非流动资产合计|3,056,630,453.65|3,140,750,474.42
资产总计|6,434,054,403.05|5,920,086,715.63
流动负债：||
短期借款|658,125,962.89|324,707,845.26
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债|922,274.31|
应付票据|234,441,953.06|116,979,965.57
应付账款|548,790,230.23|417,282,104.52
预收款项||
合同负债|67,893,694.12|66,551,535.44
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|35,362,705.47|51,642,809.30
应交税费|29,297,576.48|30,653,927.62
其他应付款|117,985,194.55|161,111,905.34
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|2,569,407.38|
其他流动负债|4,629,203.03|5,986,102.56
流动负债合计|1,700,018,201.52|1,174,916,195.61
非流动负债：||
保险合同准备金||
长期借款|57,069,416.74|60,074,305.56
应付债券|754,372,562.54|721,858,890.38
其中：优先股||
永续债||
page|99
租赁负债|4,318,091.07|
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|56,153,299.35|51,773,501.22
递延所得税负债|872,074.94|1,217,880.60
其他非流动负债||
非流动负债合计|872,785,444.64|834,924,577.76
负债合计|2,572,803,646.16|2,009,840,773.37
所有者权益：||
股本|665,722,109.00|665,721,421.00
其他权益工具|173,054,530.01|173,056,108.81
其中：优先股||
永续债||
资本公积|990,894,787.16|989,551,452.35
减：库存股|17,012,949.88|
其他综合收益|4,298,730.92|5,380,900.74
专项储备||
盈余公积|358,279,018.61|334,057,491.22
一般风险准备||
未分配利润|1,401,187,408.19|1,446,017,657.53
归属于母公司所有者权益合计|3,576,423,634.01|3,613,785,031.65
少数股东权益|284,827,122.88|296,460,910.61
所有者权益合计|3,861,250,756.89|3,910,245,942.26
负债和所有者权益总计|6,434,054,403.05|5,920,086,715.63
