page|106
项目|2021 年度|2020 年度
一、营业总收入|628,877,958.08|705,548,042.18
其中：营业收入|628,877,958.08|705,548,042.18
page|107
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|617,908,884.89|667,908,051.35
其中：营业成本|515,318,320.66|557,435,978.39
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|5,877,437.36|5,429,213.10
销售费用|30,183,930.67|30,086,698.50
管理费用|31,172,404.07|28,716,316.75
研发费用|23,172,859.22|24,195,398.85
财务费用|12,183,932.91|22,044,445.76
其中：利息费用|7,936,668.35|8,873,612.14
利息收入|530,963.81|1,029,280.73
加：其他收益|1,322,085.87|2,303,043.50
投资收益（损失以“－”号填列）|2,336,675.41|3,490,297.21
其中：对联营企业和合营企业的投资收益|236,564.48|26,951.85
以摊余成本计量的金融资产终止确认收益||212,768.63
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|-93,413.80|171,441.20
信用减值损失（损失以“-”号填列）|-4,916,376.07|-2,240,500.64
资产减值损失（损失以“-”|-4,538,289.86|-2,644,748.13
page|108
号填列）||
资产处置收益（损失以“-”号填列）|1,507,687.33|
三、营业利润（亏损以“－”号填列）|6,587,442.07|38,719,523.97
加：营业外收入|376,401.31|5,482,356.45
减：营业外支出|593,759.86|851,052.21
四、利润总额（亏损总额以“－”号填列）|6,370,083.52|43,350,828.21
减：所得税费用|-1,948,353.24|4,586,174.77
五、净利润（净亏损以“－”号填列）|8,318,436.76|38,764,653.44
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|8,318,436.76|38,764,653.44
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|8,332,990.58|38,339,271.58
2.少数股东损益|-14,553.82|425,381.86
六、其他综合收益的税后净额|12,299.66|4,358.54
归属母公司所有者的其他综合收益的税后净额|12,299.66|4,358.54
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|12,299.66|4,358.54
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值||
page|109
变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额|12,299.66|4,358.54
7.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|8,330,736.42|38,769,011.98
归属于母公司所有者的综合收益总额|8,345,290.24|38,343,630.12
归属于少数股东的综合收益总额|-14,553.82|425,381.86
八、每股收益：||
（一）基本每股收益|0.05|0.24
（二）稀释每股收益|0.05|0.24
