page|65
项目|附注|2021 年度|2020 年度
一、营业总收入|七.61|6,904,813,130.77|7,936,307,260.29
其中：营业收入|七.61|6,904,813,130.77|7,936,307,260.29
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||6,712,388,869.06|7,761,431,374.75
其中：营业成本|七.61|5,880,979,516.92|6,908,134,440.72
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七.62|46,478,220.76|46,446,397.09
销售费用|七.63|327,432,665.82|366,094,848.38
管理费用|七.64|419,201,987.63|415,040,279.06
研发费用||3,401,816.80|
财务费用|七.66|34,894,661.13|25,715,409.50
其中：利息费用|七.66|44,414,792.02|30,570,007.36
利息收入|七.66|-19,646,634.72|-13,340,250.57
加：其他收益|七.67|14,090,169.17|17,651,364.66
投资收益（损失以“－”号填列）|七.68|619,650,503.49|207,894,115.08
其中：对联营企业和合营企业的投资收益|七.68|167,888,155.86|11,279,410.70
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
|信用减值损失（损失以“-”号填列）  七.71|744,724.30|-790,994.58
|资产减值损失（损失以“-”号填列）  七.72|-520,233.15|-1,261,502.16
|资产处置收益（损失以“－”号填列）  七.73|67,907,960.07|26,045,496.85
三、营业利润（亏损以“－”号填列）||894,297,385.59|424,414,365.39
加：营业外收入|七.74|12,723,623.35|21,397,448.46
减：营业外支出|七.75|14,132,528.97|10,426,839.00
四、利润总额（亏损总额以“－”号填列）||892,888,479.97|435,384,974.85
减：所得税费用|七.76|222,742,893.51|119,772,782.52
五、净利润（净亏损以“－”号填列）||670,145,586.46|315,612,192.33
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||670,145,586.46|315,612,192.33
2.终止经营净利润（净亏损以“－”号填列）|||
page|66
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||640,589,073.77|315,070,052.54
2.少数股东损益（净亏损以“-”号填列）||29,556,512.69|542,139.79
六、其他综合收益的税后净额|七.77|-67,067,877.49|91,485,804.06
（一）归属母公司所有者的其他综合收益的税后净额|七.77|-67,067,877.49|91,485,804.06
1．不能重分类进损益的其他综合收益|七.77|-67,067,877.49|91,485,804.06
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益||8,826,872.54|
（3）其他权益工具投资公允价值变动|七.77|-75,894,750.03|91,485,804.06
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||603,077,708.97|407,097,996.39
（一）归属于母公司所有者的综合收益总额||573,521,196.28|406,555,856.60
（二）归属于少数股东的综合收益总额||29,556,512.69|542,139.79
八、每股收益：|||
（一）基本每股收益(元/股)||0.724|0.356
（二）稀释每股收益(元/股)||0.724|0.356
