page|90
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|808,792,390.15|1,152,656,963.33
结算备付金||
拆出资金||
交易性金融资产|3,965,933.00|
衍生金融资产||
应收票据|563,735,860.54|581,136,843.69
应收账款|1,549,493,823.64|1,626,091,292.49
应收款项融资|192,335,863.96|260,111,993.49
预付款项|42,340,176.49|68,803,101.71
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|292,705,158.27|335,182,155.59
其中：应收利息||
应收股利|16,118,421.05|
买入返售金融资产||
存货|932,873,049.14|864,802,236.89
合同资产||
持有待售资产||
一年内到期的非流动资产|22,650,811.74|91,528,759.41
其他流动资产|129,049,031.19|162,993,815.27
page|91
流动资产合计|4,537,942,098.12|5,143,307,161.87
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款|367,715,317.89|272,774,365.02
长期股权投资|552,880,133.85|614,187,040.38
其他权益工具投资|117,150,000.00|117,150,000.00
其他非流动金融资产||
投资性房地产|260,455,014.68|287,671,960.65
固定资产|2,591,173,095.79|2,644,760,538.32
在建工程|418,569,986.26|395,591,823.05
生产性生物资产||
油气资产||
使用权资产||
无形资产|471,568,162.71|500,777,675.17
开发支出|16,211,635.95|19,039,954.20
商誉|256,504,945.02|1,200,955,632.17
长期待摊费用|11,410,811.61|17,218,506.97
递延所得税资产|110,109,739.35|69,162,661.07
其他非流动资产|290,939,450.77|298,263,857.72
非流动资产合计|5,464,688,293.88|6,437,554,014.72
资产总计|10,002,630,392.00|11,580,861,176.59
流动负债：||
短期借款|1,756,191,331.51|1,531,973,562.61
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|1,065,872,291.24|1,149,602,402.41
应付账款|1,220,763,103.85|1,607,038,444.07
预收款项||
合同负债|14,909,658.11|14,335,308.39
卖出回购金融资产款||
page|92
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|62,276,982.57|65,668,616.88
应交税费|81,984,732.61|166,809,375.06
其他应付款|44,454,339.18|35,813,369.40
其中：应付利息||
应付股利|34,216,326.53|30,489,795.92
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|52,749,501.37|54,856,349.04
其他流动负债|1,938,255.56|1,863,590.07
流动负债合计|4,301,140,196.00|4,627,961,017.93
非流动负债：||
保险合同准备金||
长期借款|95,108,013.70|
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|27,412,920.00|27,459,200.00
长期应付职工薪酬||
预计负债|56,485,350.09|56,876,683.95
递延收益|178,005,037.43|180,218,690.99
递延所得税负债||
其他非流动负债||
非流动负债合计|357,011,321.22|264,554,574.94
负债合计|4,658,151,517.22|4,892,515,592.87
所有者权益：||
股本|1,340,000,000.00|1,340,000,000.00
其他权益工具||
其中：优先股||
永续债||
page|93
资本公积|3,036,005,321.44|3,036,005,321.44
减：库存股|205,142,925.63|205,142,925.63
其他综合收益||
专项储备||
盈余公积|290,753,248.45|290,753,248.45
一般风险准备||
未分配利润|851,000,800.99|2,189,148,039.37
归属于母公司所有者权益合计|5,312,616,445.25|6,650,763,683.63
少数股东权益|31,862,429.53|37,581,900.09
所有者权益合计|5,344,478,874.78|6,688,345,583.72
负债和所有者权益总计|10,002,630,392.00|11,580,861,176.59
