page|85
项目|2021 年度|2020 年度
一、营业总收入|31,793,147,908.12|28,093,409,430.26
其中：营业收入|31,793,147,908.12|28,093,409,430.26
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|29,789,694,099.52|26,323,802,819.86
其中：营业成本|27,128,550,627.93|23,680,291,509.77
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|73,160,213.97|87,488,000.10
销售费用|341,087,646.41|329,180,346.50
管理费用|781,664,730.36|686,479,003.08
研发费用|1,028,567,206.95|910,253,381.44
财务费用|436,663,673.90|630,110,578.97
其中：利息费用|371,339,473.57|562,315,180.30
page|86
利息收入|62,819,318.55|87,524,003.63
加：其他收益|269,467,593.24|202,345,395.03
投资收益（损失以“－”号填列）|41,578,291.23|18,878,418.25
其中：对联营企业和合营企业的投资收益|-7,515,648.15|6,412,017.44
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|8,645,469.99|13,233,451.39
信用减值损失（损失以“-”号填列）|-7,992,105.91|-142,200,047.48
资产减值损失（损失以“-”号填列）|-187,376,720.10|-84,916,564.37
资产处置收益（损失以“-”号填列）|-14,060,145.96|21,382,265.54
三、营业利润（亏损以“－”号填列）|2,113,716,191.09|1,798,329,528.76
加：营业外收入|3,112,802.79|13,465,190.82
减：营业外支出|6,006,471.39|25,469,372.36
四、利润总额（亏损总额以“－”号填列）|2,110,822,522.49|1,786,325,347.22
减：所得税费用|249,922,824.36|249,138,163.22
五、净利润（净亏损以“－”号填列）|1,860,899,698.13|1,537,187,184.00
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|1,860,899,698.13|1,537,187,184.00
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|1,862,481,138.84|1,530,132,196.09
2.少数股东损益|-1,581,440.71|7,054,987.91
六、其他综合收益的税后净额|-46,074,281.99|89,653,243.55
归属母公司所有者的其他综合收益的税后净额|-46,074,281.99|89,653,243.55
（一）不能重分类进损益的其他综||21,936,146.46
page|87
合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||21,936,146.46
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|-46,074,281.99|67,717,097.09
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备|4,646,609.02|50,109,339.97
6.外币财务报表折算差额|-50,720,891.01|17,607,757.12
7.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|1,814,825,416.14|1,626,840,427.55
归属于母公司所有者的综合收益总额|1,816,406,856.85|1,619,785,439.64
归属于少数股东的综合收益总额|-1,581,440.71|7,054,987.91
八、每股收益：||
（一）基本每股收益|1.09|0.93
（二）稀释每股收益|1.09|0.93
