page|110
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|1,816,204,117.46|1,854,369,422.27
结算备付金||
拆出资金||
交易性金融资产||275,000.00
衍生金融资产||
应收票据|99,717,461.24|99,552,804.67
应收账款|827,942,086.07|1,098,298,633.40
应收款项融资|42,691,042.04|106,128,716.82
预付款项|356,599,551.33|242,534,820.08
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|174,811,688.84|246,137,424.07
其中：应收利息||3,240,000.00
应收股利||
买入返售金融资产||
存货|1,128,210,345.01|869,163,707.65
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|1,405,383,089.12|1,271,031,623.21
流动资产合计|5,851,559,381.11|5,787,492,152.17
非流动资产：||
发放贷款和垫款||
债权投资||
page|111
其他债权投资||
长期应收款||
长期股权投资|1,415,388,197.37|1,092,703,744.98
其他权益工具投资|82,121,705.63|116,175,837.07
其他非流动金融资产|1,057,914,316.40|783,226,618.67
投资性房地产|2,482,519,213.37|2,450,436,024.46
固定资产|5,389,258,805.73|5,878,071,515.84
在建工程|306,032,243.02|183,130,827.01
生产性生物资产||
油气资产||
使用权资产||
无形资产|516,648,011.58|571,011,149.50
开发支出|14,868,428.87|13,061,115.25
商誉|6,757,158,182.95|7,088,118,307.29
长期待摊费用|130,169,712.54|148,275,030.77
递延所得税资产|376,229,638.64|300,686,193.81
其他非流动资产|67,383,047.80|
非流动资产合计|18,595,691,503.90|18,624,896,364.65
资产总计|24,447,250,885.01|24,412,388,516.82
流动负债：||
短期借款|1,896,401,016.00|2,769,510,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|141,910,744.26|240,474,181.79
应付账款|781,553,464.94|966,140,419.92
预收款项|912,088.05|4,956,165.40
合同负债|116,138,682.48|125,238,605.56
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|97,222,482.25|99,102,093.69
page|112
应交税费|47,385,832.55|128,095,220.29
其他应付款|125,335,829.56|138,667,128.81
其中：应付利息||456,750.00
应付股利||18,000,000.00
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|450,023,000.00|286,955,000.00
其他流动负债|232,059,483.64|484,493,443.16
流动负债合计|3,888,942,623.73|5,243,632,258.62
非流动负债：||
保险合同准备金||
长期借款|732,429,000.00|1,121,340,000.00
应付债券|807,733,333.34|807,733,333.34
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|135,453,056.43|127,099,819.03
递延所得税负债|420,078,839.62|415,318,472.94
其他非流动负债||
非流动负债合计|2,095,694,229.39|2,471,491,625.31
负债合计|5,984,636,853.12|7,715,123,883.93
所有者权益：||
股本|1,253,011,919.00|1,253,011,919.00
其他权益工具||
其中：优先股||
永续债||
资本公积|13,086,269,666.29|12,898,773,253.33
减：库存股|510,039,097.70|510,039,097.70
其他综合收益|-16,806,330.82|9,459,004.93
专项储备|16,697,996.91|
page|113
盈余公积|327,588,147.59|311,132,831.67
一般风险准备||
未分配利润|3,494,982,317.97|2,524,853,875.48
归属于母公司所有者权益合计|17,651,704,619.24|16,487,191,786.71
少数股东权益|810,909,412.65|210,072,846.18
所有者权益合计|18,462,614,031.89|16,697,264,632.89
负债和所有者权益总计|24,447,250,885.01|24,412,388,516.82
