page|92
项目|附注|2021 年度|2020 年度
一、营业总收入||1,150,823,565.24|960,249,354.36
其中：营业收入||1,150,823,565.24|960,249,354.36
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,016,543,328.92|843,383,667.11
其中：营业成本||618,507,475.23|492,334,325.46
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||8,960,412.67|8,670,609.84
销售费用||179,576,394.66|163,277,932.87
管理费用||105,421,768.14|94,646,017.87
研发费用||100,936,653.47|79,913,467.14
财务费用||3,140,624.75|4,541,313.93
其中：利息费用||1,929,893.94|1,776,108.60
利息收入||704,946.30|461,445.97
加：其他收益||38,627,746.38|28,263,512.62
投资收益（损失以“－”号填列）||7,193,108.06|5,623,666.58
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||432,673.93|454,650.95
信用减值损失（损失以“-”号填列）||-7,821,931.41|-5,958,746.98
资产减值损失（损失以“-”号填列）||-1,890,235.95|-3,327,217.30
资产处置收益（损失以“－”号填列）||46,504.73|141,807.62
三、营业利润（亏损以“－”号填列）||170,868,102.06|142,063,360.74
加：营业外收入||803,135.48|183,941.02
减：营业外支出||268,166.44|2,098,638.73
四、利润总额（亏损总额以“－”号填列）||171,403,071.10|140,148,663.03
减：所得税费用||21,305,803.37|17,843,886.51
五、净利润（净亏损以“－”号填列）||150,097,267.73|122,304,776.52
page|93
号填列）|||
2.少数股东损益（净亏损以“-”号填列）||17,524,070.99|13,328,565.62
六、其他综合收益的税后净额||-9,108,413.87|-5,315,474.05
（一）归属母公司所有者的其他综合收益的税后净额||-9,073,298.98|-5,085,952.46
1．不能重分类进损益的其他综合收益||-8,971,164.25|-4,550,402.08
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-8,971,164.25|-4,550,402.08
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-102,134.73|-535,550.38
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-102,134.73|-535,550.38
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-35,114.89|-229,521.59
七、综合收益总额||140,988,853.86|116,989,302.47
（一）归属于母公司所有者的综合收益总额||123,499,897.76|103,890,258.44
（二）归属于少数股东的综合收益总额||17,488,956.10|13,099,044.03
