page|107
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|五、1|10,782,287,275.44|12,438,339,362.30
交易性金融资产|五、2|4,292,304,704.93|3,647,166,033.62
衍生金融资产|五、3|348,768,936.92|477,042,141.93
应收票据|五、4|84,863,205.75|58,652,016.92
应收账款|五、5|5,554,389,725.17|3,794,936,230.14
应收款项融资|五、6|744,098,422.81|880,858,289.76
预付款项|五、7|15,506,912,673.68|12,506,853,937.94
应收货币保证金|五、8|3,501,527,954.58|3,248,296,390.08
应收质押保证金|五、8|74,659,480.00|237,521,672.00
其他应收款|五、9|2,430,943,810.57|3,330,860,852.97
其中：应收利息|五、9||
应收股利|五、9|2,151,379.63|5,504,908.13
存货|五、10|31,351,594,542.79|49,953,288,101.92
合同资产|五、11||5,259,588.20
持有待售资产|五、12|751,372,341.22|1,437,526.95
一年内到期的非流动资产|五、13|2,067,056,906.09|851,338,123.72
其他流动资产|五、14|3,004,431,703.17|3,164,365,269.45
流动资产合计||80,495,211,683.12|94,596,215,537.90
page|108
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
非流动资产：|||
债权投资|五、15|305,462,724.70|754,237,063.66
其他债权投资|||
长期应收款|五、16|1,606,420,798.51|886,368,856.66
长期股权投资|五、17|7,751,134,840.50|9,685,778,228.99
其他权益工具投资|五、18|3,576,039.25|23,046,029.99
其他非流动金融资产|五、19|952,693,775.17|1,018,167,054.38
投资性房地产|五、20|1,824,481,667.16|1,858,611,116.08
固定资产|五、21|2,841,547,441.38|2,602,003,098.48
在建工程|五、22|194,611,680.76|11,682,405.39
生产性生物资产|||
油气资产|||
使用权资产|五、23|181,249,552.90|
无形资产|五、24|138,022,643.05|140,554,202.64
开发支出|||
商誉|五、25|691,453.31|691,453.31
长期待摊费用|五、26|24,456,803.74|44,459,672.91
递延所得税资产|五、27|1,344,716,713.63|1,773,091,338.82
其他非流动资产|五、28|81,482,519.13|20,968,079.44
非流动资产合计||17,250,548,653.19|18,819,658,600.75
资产总计||97,745,760,336.31|113,415,874,138.65
流动负债：|||
短期借款|五、29|4,079,453,709.40|11,323,178,850.26
交易性金融负债|五、30|516,355,481.56|914,859,561.21
衍生金融负债|五、31|495,819,703.27|923,622,895.93
应付票据|五、32|14,880,694,066.49|12,816,405,879.84
应付账款|五、33|4,818,901,055.02|4,386,295,462.38
预收款项|五、34|28,012,224.22|19,970,949.45
合同负债|五、35|19,114,080,624.69|18,851,442,148.28
应付货币保证金|五、36|5,250,091,808.30|4,216,027,029.99
应付质押保证金|五、36|74,659,480.00|237,521,672.00
应付职工薪酬|五、37|874,613,370.94|712,514,419.45
应交税费|五、38|1,225,956,892.86|952,471,325.32
其他应付款|五、39|1,492,731,892.98|4,555,770,624.18
其中：应付利息|五、39||
应付股利|五、39|54,665,067.14|41,374,723.96
持有待售负债|||
一年内到期的非流动负债|五、40|3,786,432,939.88|1,289,416,615.35
其他流动负债|五、41|2,579,720,746.87|2,623,830,171.36
流动负债合计||59,217,523,996.48|63,823,327,605.00
非流动负债：|||
长期借款|五、42|1,513,147,667.41|10,477,998,136.84
应付债券|五、43|998,416,666.78|3,481,471,091.01
其中：优先股|||
永续债|||
租赁负债|五、44|92,973,678.15|
长期应付款|五、45|129,074,823.39|477,568,628.45
page|109
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
长期应付职工薪酬|五、46|13,909,453.95|13,605,701.99
预计负债|五、47||17,136,764.47
递延收益|五、48|6,934,725.56|7,132,596.50
递延所得税负债|五、27|229,412,967.67|255,016,552.26
其他非流动负债|||
非流动负债合计||2,983,869,982.91|14,729,929,471.52
负债合计||62,201,393,979.39|78,553,257,076.52
所有者权益（或股东权益）：|||
实收资本（或股本）|五、49|2,117,666,057.00|1,946,251,889.00
其他权益工具|五、50|10,050,760,849.06|10,559,220,913.80
其中：优先股|||
永续债|五、50|10,050,760,849.06|10,376,563,679.27
资本公积|五、51|4,624,937,441.49|3,491,415,373.55
减：库存股|五、52|64,919,210.00|85,072,000.00
其他综合收益|五、53|-107,442,370.11|-149,621,251.33
专项储备|五、54|826,129.93|652,259.10
盈余公积|五、55|1,094,355,740.81|906,841,876.54
一般风险准备|五、56|50,425,785.04|35,659,674.28
未分配利润|五、57|11,324,355,410.38|9,485,261,535.59
归属于母公司所有者权益（或股东权益）合计||29,090,965,833.60|26,190,610,270.53
少数股东权益||6,453,400,523.32|8,672,006,791.60
所有者权益（或股东权益）合计||35,544,366,356.92|34,862,617,062.13
负债和所有者权益（或股东权益）总计||97,745,760,336.31|113,415,874,138.65
