page|118
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|七、1|349,431,960.64|421,509,282.43
结算备付金|||
拆出资金|||
交易性金融资产|七、2|60,923,493.88|
衍生金融资产|||
应收票据|七、4|9,400,000.00|16,124,607.70
应收账款|七、5|253,421,207.62|175,136,080.85
应收款项融资|||
预付款项|七、7|12,405,719.51|8,358,979.57
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|12,448,119.97|10,670,354.25
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|26,091,802.23|13,201,941.86
合同资产|七、10|15,079,472.40|8,143,340.72
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|2,046,511.16|1,654,887.92
流动资产合计||741,248,287.41|654,799,475.30
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|||
固定资产|七、21|180,193,562.63|175,552,227.67
在建工程|七、22|587,225.92|5,966,183.21
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|七、26|58,844,849.23|26,233,334.44
开发支出|||
商誉|||
page|119
长期待摊费用|七、29|7,102,566.50|11,753,226.67
递延所得税资产|七、30|5,824,705.33|4,083,191.57
其他非流动资产|七、31|10,758,011.31|406,950.25
非流动资产合计||263,310,920.92|223,995,113.81
资产总计||1,004,559,208.33|878,794,589.11
流动负债：|||
短期借款|七、32|33,654,477.32|20,026,125.01
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七、35|8,860,190.40|4,368,144.46
应付账款|七、36|97,400,024.90|75,152,019.87
预收款项|七、37|49,541.29|49,541.29
合同负债|七、38|5,644,411.65|5,142,851.87
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|7,610,893.89|6,157,850.72
应交税费|七、40|9,291,002.33|4,997,621.26
其他应付款|七、41|9,468,682.82|5,824,404.23
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|七、44|15,975,423.69|11,066,260.41
流动负债合计||187,954,648.29|132,784,819.12
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|七、51|3,397,274.91|4,083,194.91
递延所得税负债|七、30|15,703.89|-
其他非流动负债|||
非流动负债合计||3,412,978.80|4,083,194.91
负债合计||191,367,627.09|136,868,014.03
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|91,840,000.00|91,840,000.00
其他权益工具|||
page|120
其中：优先股|||
永续债|||
资本公积|七、55|471,121,813.98|466,122,814.90
减：库存股|||
其他综合收益|||
专项储备|||
盈余公积|七、59|23,437,241.20|16,329,434.16
一般风险准备|||
未分配利润|七、60|183,677,275.29|133,613,980.07
归属于母公司所有者权益（或股东权益）合计||770,076,330.47|707,906,229.13
少数股东权益||43,115,250.77|34,020,345.95
所有者权益（或股东权益）合计||813,191,581.24|741,926,575.08
负债和所有者权益（或股东权益）总计||1,004,559,208.33|878,794,589.11
