page|187
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|787,107,318.81|657,240,807.85
客户存款和同业存放款项净增加||
page|188
额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|196,214.19|5,219,192.79
收到其他与经营活动有关的现金|37,260,182.99|14,989,128.31
经营活动现金流入小计|824,563,715.99|677,449,128.95
购买商品、接受劳务支付的现金|450,452,327.73|388,403,692.31
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|152,881,858.45|119,398,304.63
支付的各项税费|59,870,941.78|56,355,815.08
支付其他与经营活动有关的现金|42,730,157.57|48,445,947.71
经营活动现金流出小计|705,935,285.53|612,603,759.73
经营活动产生的现金流量净额|118,628,430.46|64,845,369.22
二、投资活动产生的现金流量：||
收回投资收到的现金||
取得投资收益收到的现金|2,969,528.92|
处置固定资产、无形资产和其他长期资产收回的现金净额|6,049.60|19,000.00
处置子公司及其他营业单位收到的现金净额||
page|189
收到其他与投资活动有关的现金|300,000,000.00|
投资活动现金流入小计|302,975,578.52|19,000.00
购建固定资产、无形资产和其他长期资产支付的现金|124,140,343.39|34,514,698.86
投资支付的现金||
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金|301,055,000.00|
投资活动现金流出小计|425,195,343.39|34,514,698.86
投资活动产生的现金流量净额|-122,219,764.87|-34,495,698.86
三、筹资活动产生的现金流量：||
吸收投资收到的现金||465,981,555.29
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金||254,000,000.00
收到其他与筹资活动有关的现金|2,815,428.00|
筹资活动现金流入小计|2,815,428.00|719,981,555.29
偿还债务支付的现金|71,000,000.00|427,000,000.00
分配股利、利润或偿付利息支付的现金|11,030,938.28|21,736,811.97
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金|9,294,034.00|10,895,348.88
筹资活动现金流出小计|91,324,972.28|459,632,160.85
筹资活动产生的现金流量净额|-88,509,544.28|260,349,394.44
四、汇率变动对现金及现金等价物的影响|-267,588.68|-609,473.16
五、现金及现金等价物净增加额|-92,368,467.37|290,089,591.64
加：期初现金及现金等价物余额|665,728,403.75|375,638,812.11
六、期末现金及现金等价物余额|573,359,936.38|665,728,403.75
