page|123
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|526,309,228.92|2,103,473,888.26
page|124
结算备付金||
拆出资金||
交易性金融资产||2,182,265.00
衍生金融资产||
应收票据|88,285,521.48|148,178,487.34
应收账款|1,248,802,595.02|5,317,156,017.37
应收款项融资||
预付款项|1,400,404,865.35|2,117,586,331.89
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|449,534,124.09|197,310,216.65
其中：应收利息||
应收股利||
买入返售金融资产||
存货|1,753,072,398.20|2,151,726,599.78
合同资产|277,182,326.69|713,685,499.40
持有待售资产||
一年内到期的非流动资产|8,975,296.37|
其他流动资产|113,152,183.29|247,748,431.34
流动资产合计|5,865,718,539.41|12,999,047,737.03
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||5,959,854.53
长期股权投资|1,533,588,980.48|58,476,074.05
其他权益工具投资||
其他非流动金融资产|2,216,479,237.49|29,250,000.00
投资性房地产||
固定资产|3,763,992,283.39|2,397,056,459.94
在建工程|82,664,830.02|1,531,556,542.14
生产性生物资产||
油气资产||
page|125
使用权资产|69,744,044.89|
无形资产|580,267,657.78|985,143,745.97
开发支出|194,384,328.76|171,357,867.61
商誉|64,656,693.34|127,962,602.53
长期待摊费用|17,618,999.83|110,103,847.92
递延所得税资产|259,388,745.46|442,592,116.79
其他非流动资产|121,384,028.09|30,789,982.89
非流动资产合计|8,904,169,829.53|5,890,249,094.37
资产总计|14,769,888,368.94|18,889,296,831.40
流动负债：||
短期借款|368,182,379.43|1,173,565,016.04
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|153,720,928.72|494,019,583.62
应付账款|1,656,813,985.44|3,201,485,534.72
预收款项||
合同负债|326,602,054.48|855,131,362.41
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|7,998,500.99|71,094,768.94
应交税费|27,280,647.06|36,525,574.46
其他应付款|1,654,775,036.34|920,766,862.92
其中：应付利息||
应付股利||125,286,866.92
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|488,400,842.22|947,564,502.48
其他流动负债|396,288,691.11|344,504,440.59
流动负债合计|5,080,063,065.79|8,044,657,646.18
page|126
非流动负债：||
保险合同准备金||
长期借款|602,836,279.68|682,200,000.00
应付债券|0.00|0.00
其中：优先股||
永续债||
租赁负债|48,169,074.21|
长期应付款|62,549,728.48|140,145,494.42
长期应付职工薪酬||
预计负债|1,908,715.24|59,435,006.95
递延收益|69,434,420.78|121,700,550.20
递延所得税负债|38,002,166.44|67,719,650.71
其他非流动负债||
非流动负债合计|822,900,384.83|1,071,200,702.28
负债合计|5,902,963,450.62|9,115,858,348.46
所有者权益：||
股本|2,349,720,302.00|2,349,720,302.00
其他权益工具|307,725,300.00|307,725,300.00
其中：优先股||
永续债|307,725,300.00|307,725,300.00
资本公积|1,125,876,346.89|1,124,202,997.20
减：库存股||
其他综合收益|-94,336,653.09|-56,677,485.26
专项储备|3,228,254.28|2,975,222.08
盈余公积|477,568,783.10|440,390,711.88
一般风险准备||
未分配利润|3,978,943,576.47|3,957,342,313.85
归属于母公司所有者权益合计|8,148,725,909.65|8,125,679,361.75
少数股东权益|718,199,008.67|1,647,759,121.19
所有者权益合计|8,866,924,918.32|9,773,438,482.94
负债和所有者权益总计|14,769,888,368.94|18,889,296,831.40
