page|114
项目|2021 年度|2020 年度
一、营业总收入|473,244,942.66|456,643,081.69
其中：营业收入|473,244,942.66|456,643,081.69
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|384,144,335.59|404,883,157.70
其中：营业成本|125,198,711.49|149,130,839.10
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|2,224,747.04|1,620,400.38
销售费用|66,662,514.88|76,058,205.80
管理费用|86,913,734.47|76,294,145.58
研发费用|98,617,995.25|95,790,197.00
财务费用|4,526,632.46|5,989,369.84
其中：利息费用|1,435,576.15|3,756,003.34
利息收入|3,814,527.14|1,265,686.44
加：其他收益|3,678,093.73|6,286,740.83
投资收益（损失以“－”号填列）|-28,495,221.78|6,609,471.78
其中：对联营企业和合营企业的投资收益|-38,917,948.98|264,741.09
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
page|115
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|2,966,873.69|4,167,993.81
信用减值损失（损失以“-”号填列）|-2,754,656.35|-1,877,551.82
资产减值损失（损失以“-”号填列）|-113,887,229.67|-11,343,427.87
资产处置收益（损失以“-”号填列）|465,918.17|4,994.00
三、营业利润（亏损以“－”号填列）|-48,925,615.14|55,608,144.72
加：营业外收入|12,856,905.95|6,034,600.13
减：营业外支出|15,261.31|403,862.77
四、利润总额（亏损总额以“－”号填列）|-36,083,970.50|61,238,882.08
减：所得税费用|44,854,322.43|-16,240,270.89
五、净利润（净亏损以“－”号填列）|-80,938,292.93|77,479,152.97
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|-80,938,292.93|77,479,152.97
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|-174,205,315.14|33,580,462.55
2.少数股东损益|93,267,022.21|43,898,690.42
六、其他综合收益的税后净额|6,222,642.68|-6,241,239.93
归属母公司所有者的其他综合收益的税后净额|6,222,642.68|-6,241,239.93
（一）不能重分类进损益的其他综合收益|8,351,642.81|-896.20
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动|8,351,642.81|-896.20
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|-2,129,000.13|-6,240,343.73
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额|-2,129,000.13|-6,240,343.73
7.其他||
归属于少数股东的其他综合收益的税后净额||
page|116
七、综合收益总额|-74,715,650.25|71,237,913.04
归属于母公司所有者的综合收益总额|-167,982,672.46|27,339,222.62
归属于少数股东的综合收益总额|93,267,022.21|43,898,690.42
八、每股收益：||
（一）基本每股收益|-0.860|0.160
（二）稀释每股收益|-0.860|0.160
