page|118
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|13,061,657.56|5,400,298.86
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|41,454.28|15,192.85
page|119
收到其他与经营活动有关的现金|1,429,854.93|639,733.59
经营活动现金流入小计|14,532,966.77|6,055,225.30
购买商品、接受劳务支付的现金|8,639,387.63|3,346,195.17
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|942,318.30|402,784.81
支付的各项税费|412,778.90|226,558.74
支付其他与经营活动有关的现金|247,681.07|236,696.30
经营活动现金流出小计|10,242,165.90|4,212,235.03
经营活动产生的现金流量净额|4,290,800.87|1,842,990.26
二、投资活动产生的现金流量：||
收回投资收到的现金|57,174.51|4,477.98
取得投资收益收到的现金|22,863.88|2,408.71
处置固定资产、无形资产和其他长期资产收回的现金净额|322.31|2.46
处置子公司及其他营业单位收到的现金净额|5,841.44|
收到其他与投资活动有关的现金|409,431.40|273,587.44
投资活动现金流入小计|495,633.53|280,476.59
购建固定资产、无形资产和其他长期资产支付的现金|4,376,777.08|1,330,235.58
投资支付的现金|1,172,571.89|408,841.85
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额|29,580.03|
支付其他与投资活动有关的现金|294,810.47|46,644.78
投资活动现金流出小计|5,873,739.47|1,785,722.21
投资活动产生的现金流量净额|-5,378,105.94|-1,505,245.62
三、筹资活动产生的现金流量：||
吸收投资收到的现金|155,141.28|2,053,636.10
page|120
其中：子公司吸收少数股东投资收到的现金|79,520.00|92,352.34
取得借款收到的现金|2,627,658.25|945,092.07
收到其他与筹资活动有关的现金|323,502.84|1,319,926.64
筹资活动现金流入小计|3,106,302.36|4,318,654.81
偿还债务支付的现金|545,790.79|474,370.12
分配股利、利润或偿付利息支付的现金|156,802.51|89,880.98
其中：子公司支付给少数股东的股利、利润||782.58
支付其他与筹资活动有关的现金|37,851.26|11,260.25
筹资活动现金流出小计|740,444.56|575,511.35
筹资活动产生的现金流量净额|2,365,857.80|3,743,143.45
四、汇率变动对现金及现金等价物的影响|-71,177.82|-57,695.07
五、现金及现金等价物净增加额|1,207,374.92|4,023,193.03
加：期初现金及现金等价物余额|6,343,198.60|2,320,005.56
六、期末现金及现金等价物余额|7,550,573.52|6,343,198.60
