page|104
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|1,704,321,749.64|1,510,385,061.05
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现||
page|105
金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|62,975,037.11|32,426,119.19
收到其他与经营活动有关的现金|31,636,858.68|38,779,679.17
经营活动现金流入小计|1,798,933,645.43|1,581,590,859.41
购买商品、接受劳务支付的现金|1,105,762,887.34|818,598,875.34
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|367,831,089.00|321,142,947.95
支付的各项税费|44,434,371.90|45,910,172.22
支付其他与经营活动有关的现金|155,478,982.94|111,020,942.75
经营活动现金流出小计|1,673,507,331.18|1,296,672,938.26
经营活动产生的现金流量净额|125,426,314.25|284,917,921.15
二、投资活动产生的现金流量：||
收回投资收到的现金|1,337,681,699.45|
取得投资收益收到的现金|24,072,156.27|
处置固定资产、无形资产和其他长期资产收回的现金净额|4,429,194.73|1,318,398.11
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金||164,194,701.23
投资活动现金流入小计|1,366,183,050.45|165,513,099.34
购建固定资产、无形资产和其|99,547,149.72|29,655,691.77
page|106
他长期资产支付的现金||
投资支付的现金|1,533,101,446.77|
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额|76,557,263.92|1,084,384.31
支付其他与投资活动有关的现金||40,670,000.00
投资活动现金流出小计|1,709,205,860.41|71,410,076.08
投资活动产生的现金流量净额|-343,022,809.96|94,103,023.26
三、筹资活动产生的现金流量：||
吸收投资收到的现金|329,160,000.00|
其中：子公司吸收少数股东投资收到的现金|2,310,000.00|
取得借款收到的现金|757,514,713.97|238,055,255.00
收到其他与筹资活动有关的现金|114,462,255.77|72,725,989.89
筹资活动现金流入小计|1,201,136,969.74|310,781,244.89
偿还债务支付的现金|600,642,857.46|148,499,898.29
分配股利、利润或偿付利息支付的现金|220,991,914.24|5,787,801.80
其中：子公司支付给少数股东的股利、利润||2,747,213.42
支付其他与筹资活动有关的现金|189,552,762.05|48,242,098.71
筹资活动现金流出小计|1,011,187,533.75|202,529,798.80
筹资活动产生的现金流量净额|189,949,435.99|108,251,446.09
四、汇率变动对现金及现金等价物的影响|-22,631,332.07|-39,679,299.28
五、现金及现金等价物净增加额|-50,278,391.79|447,593,091.22
加：期初现金及现金等价物余额|793,315,949.65|345,722,858.43
六、期末现金及现金等价物余额|743,037,557.86|793,315,949.65
