page|107
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|118,121,126.27|165,221,128.89
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产||
应收票据|111,418,366.03|109,372,076.13
应收账款|727,718,515.01|686,332,248.51
应收款项融资|4,468,728.97|9,488,945.80
预付款项|16,238,598.22|49,866,847.41
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|16,042,398.57|22,911,481.76
其中：应收利息||
应收股利||
买入返售金融资产||
存货|311,732,376.68|308,653,721.55
合同资产|77,388,671.67|48,568,133.59
持有待售资产||
一年内到期的非流动资产|2,418,533.67|826,008.82
page|108
其他流动资产|15,504,307.79|33,419,770.67
流动资产合计|1,401,051,622.88|1,434,660,363.13
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||2,189,268.50
长期股权投资||
其他权益工具投资||
其他非流动金融资产||
投资性房地产||39,711,164.82
固定资产|276,593,686.31|276,229,871.33
在建工程|202,372,690.95|194,712,367.32
生产性生物资产||
油气资产||
使用权资产|15,056,889.75|
无形资产|58,845,741.56|70,870,910.96
开发支出||
商誉|97,035,222.59|118,952,722.59
长期待摊费用|11,042,328.59|19,281,242.83
递延所得税资产|29,841,346.57|41,370,493.12
其他非流动资产|588,176.30|2,162,805.46
非流动资产合计|691,376,082.62|765,480,846.93
资产总计|2,092,427,705.50|2,200,141,210.06
流动负债：||
短期借款|181,448,146.91|291,080,267.47
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|162,864,412.87|104,516,660.34
应付账款|590,925,643.44|523,627,948.48
预收款项|735,126.76|173,712,943.73
合同负债|126,316,053.94|101,801,555.58
page|109
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|23,271,368.45|25,966,619.81
应交税费|12,281,397.19|13,445,057.21
其他应付款|55,668,713.24|99,942,400.03
其中：应付利息||
应付股利|1,052,000.00|1,052,000.00
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|42,100,043.92|32,659,824.93
其他流动负债|91,284,677.36|108,978,096.81
流动负债合计|1,286,895,584.08|1,475,731,374.39
非流动负债：||
保险合同准备金||
长期借款|24,000,000.00|27,000,000.00
应付债券||
其中：优先股||
永续债||
租赁负债|14,670,241.39|
长期应付款||9,058,369.91
长期应付职工薪酬||
预计负债|772,155.44|3,446,194.93
递延收益|19,715,179.82|24,331,025.08
递延所得税负债|998,397.92|2,181,444.24
其他非流动负债||29,000,000.00
非流动负债合计|60,155,974.57|95,017,034.16
负债合计|1,347,051,558.65|1,570,748,408.55
所有者权益：||
股本|369,172,062.00|373,845,506.00
其他权益工具||
其中：优先股||
page|110
永续债||
资本公积|1,131,794,193.79|1,159,598,031.46
减：库存股|32,476,475.86|61,386,612.75
其他综合收益|-1,034,609.99|-597,060.04
专项储备||
盈余公积|33,809,196.24|33,809,196.24
一般风险准备||
未分配利润|-759,278,116.92|-889,234,303.84
归属于母公司所有者权益合计|741,986,249.26|616,034,757.07
少数股东权益|3,389,897.59|13,358,044.44
所有者权益合计|745,376,146.85|629,392,801.51
负债和所有者权益总计|2,092,427,705.50|2,200,141,210.06
