page|76
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|78,213,308.70|240,648,608.33
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产||
应收票据||1,725,659.19
应收账款|595,499,991.33|369,319,856.72
应收款项融资|2,442,455.19|240,000.00
预付款项|7,328,624.77|18,485,662.75
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|80,702,981.95|90,358,756.75
page|77
其中：应收利息||
应收股利||
买入返售金融资产||
存货|138,195,656.94|158,674,679.09
合同资产|81,208,565.91|34,650,586.42
持有待售资产||
一年内到期的非流动资产||
其他流动资产|25,402,353.83|32,915,405.18
流动资产合计|1,008,993,938.62|947,019,214.43
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||2,013,643,767.30
长期股权投资||
其他权益工具投资||
其他非流动金融资产||
投资性房地产||
固定资产|495,290,442.58|546,714,153.02
在建工程||16,169,828.06
生产性生物资产||
油气资产||
使用权资产|822,511.02|
无形资产|304,074,329.93|206,018,040.83
开发支出||
商誉||
长期待摊费用|37,912,217.91|68,163,061.64
递延所得税资产|8,688,301.64|6,839,957.87
其他非流动资产|2,154,590,607.62|
非流动资产合计|3,001,378,410.70|2,857,548,808.72
资产总计|4,010,372,349.32|3,804,568,023.15
流动负债：||
短期借款|323,965,304.34|95,400,000.00
向中央银行借款||
page|78
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|252,960,000.00|180,258,591.47
应付账款|623,950,708.83|499,419,119.47
预收款项||
合同负债|25,702,144.05|110,033,946.54
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|15,348,303.95|13,224,648.88
应交税费|113,054,183.06|100,987,950.83
其他应付款|327,991,404.47|279,462,939.21
其中：应付利息||
应付股利|1,121,887.05|1,121,887.05
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|108,655,037.00|278,997,916.70
其他流动负债|3,341,278.72|105,416,510.91
流动负债合计|1,794,968,364.42|1,663,201,624.01
非流动负债：||
保险合同准备金||
长期借款|1,024,442,700.00|985,412,700.00
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|59,770,128.00|40,635,416.65
长期应付职工薪酬||
预计负债|18,544,449.22|11,044,353.11
递延收益|3,617,030.93|4,137,490.89
递延所得税负债|4,445,168.59|5,098,410.45
page|79
其他非流动负债|57,000,000.00|57,000,000.00
非流动负债合计|1,167,819,476.74|1,103,328,371.10
负债合计|2,962,787,841.16|2,766,529,995.11
所有者权益：||
股本|185,843,228.00|185,843,228.00
其他权益工具||
其中：优先股||
永续债||
资本公积|456,188,644.53|452,518,175.35
减：库存股||
其他综合收益||
专项储备||
盈余公积|35,827,983.66|31,401,599.46
一般风险准备||
未分配利润|197,079,373.36|194,769,487.80
归属于母公司所有者权益合计|874,939,229.55|864,532,490.61
少数股东权益|172,645,278.61|173,505,537.43
所有者权益合计|1,047,584,508.16|1,038,038,028.04
负债和所有者权益总计|4,010,372,349.32|3,804,568,023.15
