page|155
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|269,048,372.06|303,558,522.65
结算备付金||
拆出资金||
交易性金融资产|10,092,726.72|
衍生金融资产||
应收票据|32,009,827.61|61,378,729.94
应收账款|1,688,997,378.41|1,228,743,492.57
应收款项融资|56,721,241.12|53,399,205.18
预付款项|368,369,442.03|237,816,254.50
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|72,870,451.74|16,554,628.82
其中：应收利息||
应收股利||
买入返售金融资产||
存货|251,646,484.49|415,319,798.72
合同资产|3,570,256.94|113,655,379.39
page|156
持有待售资产||
一年内到期的非流动资产|311,762.56|193,387.90
其他流动资产|8,615,354.37|35,336,646.13
流动资产合计|2,762,253,298.05|2,465,956,045.80
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款|551,155.55|796,113.55
长期股权投资|213,088,607.78|135,889,367.72
其他权益工具投资|6,281,369.16|7,524,995.94
其他非流动金融资产|75,979,870.00|63,810,144.00
投资性房地产|2,908,240.23|
固定资产|145,537,329.83|432,335,009.04
在建工程|955,200.40|1,690,764.28
生产性生物资产||
油气资产||
使用权资产|5,354,685.01|
无形资产|49,320,063.53|37,488,399.35
开发支出||
商誉|316,589,114.30|352,124,946.68
长期待摊费用|893,187.42|608,074.80
递延所得税资产|43,895,879.49|35,826,902.78
其他非流动资产|41,094,650.00|3,809,949.83
page|157
非流动资产合计|902,449,352.70|1,071,904,667.97
资产总计|3,664,702,650.75|3,537,860,713.77
流动负债：||
短期借款|358,546,045.59|395,876,815.38
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|730,054,302.30|368,072,657.48
应付账款|523,364,333.61|360,993,677.05
预收款项||4,492,795.30
合同负债|76,616,445.81|68,680,515.91
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|13,998,677.53|17,638,934.56
应交税费|27,088,492.58|36,129,530.52
其他应付款|576,837,459.04|703,989,118.73
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
page|158
一年内到期的非流动负债|266,416,921.12|162,122,495.39
其他流动负债|2,507,176.23|49,100,097.88
流动负债合计|2,575,429,853.81|2,167,096,638.20
非流动负债：||
保险合同准备金||
长期借款|64,822,500.00|276,432,500.00
应付债券||
其中：优先股||
永续债||
租赁负债|1,428,655.48|
长期应付款|8,197,731.57|29,838,170.58
长期应付职工薪酬||
预计负债|13,348,781.00|22,866,752.50
递延收益|1,850,000.00|2,000,000.00
递延所得税负债|24,033,495.46|14,094,523.19
其他非流动负债||
非流动负债合计|113,681,163.51|345,231,946.27
负债合计|2,689,111,017.32|2,512,328,584.47
所有者权益：||
股本|531,943,475.00|531,943,475.00
其他权益工具||
其中：优先股||
永续债||
资本公积|121,908,110.32|110,238,326.27
page|159
减：库存股|37,336,824.09|
其他综合收益|1,755,832.39|2,812,915.15
专项储备||
盈余公积|37,949,800.59|34,100,969.96
一般风险准备||
未分配利润|248,471,529.46|235,397,673.20
归属于母公司所有者权益合计|904,691,923.67|914,493,359.58
少数股东权益|70,899,709.76|111,038,769.72
所有者权益合计|975,591,633.43|1,025,532,129.30
负债和所有者权益总计|3,664,702,650.75|3,537,860,713.77
