page|169
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|4,741,978,485.44|3,204,320,799.72
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
page|170
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|1,871,110.56|2,491,182.24
收到其他与经营活动有关的现金|80,148,745.92|79,718,024.45
经营活动现金流入小计|4,823,998,341.92|3,286,530,006.41
购买商品、接受劳务支付的现金|4,471,710,765.55|3,467,726,020.46
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|107,148,829.97|91,406,089.96
支付的各项税费|106,185,878.72|71,154,976.47
支付其他与经营活动有关的现金|134,846,357.52|91,470,256.79
经营活动现金流出小计|4,819,891,831.76|3,721,757,343.68
经营活动产生的现金流量净额|4,106,510.16|-435,227,337.27
二、投资活动产生的现金流量：||
收回投资收到的现金|47,499,000.00|20,680,420.00
page|171
取得投资收益收到的现金|35,516.66|86,484.97
处置固定资产、无形资产和其他长期资产收回的现金净额|157,132.00|305,275.00
处置子公司及其他营业单位收到的现金净额|33,752,079.45|
收到其他与投资活动有关的现金|47,027.13|5,544,482.78
投资活动现金流入小计|81,490,755.24|26,616,662.75
购建固定资产、无形资产和其他长期资产支付的现金|153,198,113.91|156,258,475.80
投资支付的现金|138,000,000.00|10,500,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||144,904.67
支付其他与投资活动有关的现金|72,240,000.00|83,500,687.66
投资活动现金流出小计|363,438,113.91|250,404,068.13
投资活动产生的现金流量净额|-281,947,358.67|-223,787,405.38
三、筹资活动产生的现金流量：||
吸收投资收到的现金|894,000.00|16,968,495.54
其中：子公司吸收少数股东投资收到的现金|894,000.00|16,968,495.54
取得借款收到的现金|296,020,000.00|667,572,000.00
收到其他与筹资活动有关的现金|1,258,018,708.73|777,964,047.91
筹资活动现金流入小计|1,554,932,708.73|1,462,504,543.45
偿还债务支付的现金|449,930,000.00|222,614,307.08
分配股利、利润或偿付利息支付|166,429,635.77|65,950,146.12
page|172
的现金||
其中：子公司支付给少数股东的股利、利润|23,687,169.74|13,650,563.90
支付其他与筹资活动有关的现金|776,640,095.80|372,604,571.69
筹资活动现金流出小计|1,392,999,731.57|661,169,024.89
筹资活动产生的现金流量净额|161,932,977.16|801,335,518.56
四、汇率变动对现金及现金等价物的影响||
五、现金及现金等价物净增加额|-115,907,871.35|142,320,775.91
加：期初现金及现金等价物余额|299,779,620.25|157,458,844.34
六、期末现金及现金等价物余额|183,871,748.90|299,779,620.25
