page|87
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|3,593,028,514.78|3,374,189,593.12
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|104,041,292.03|80,138,798.94
收到其他与经营活动有关的现金|125,822,154.22|163,874,324.42
经营活动现金流入小计|3,822,891,961.03|3,618,202,716.48
购买商品、接受劳务支付的现金|2,772,253,137.78|2,207,380,758.49
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|658,582,557.11|487,193,471.92
支付的各项税费|119,172,840.34|129,034,539.53
支付其他与经营活动有关的现金|386,297,193.56|330,497,471.53
经营活动现金流出小计|3,936,305,728.79|3,154,106,241.47
经营活动产生的现金流量净额|-113,413,767.76|464,096,475.01
二、投资活动产生的现金流量：||
收回投资收到的现金|3,711,725,029.31|4,791,969,326.81
取得投资收益收到的现金|44,718,578.74|28,920,565.56
处置固定资产、无形资产和其他长期资产收回的现金净额|268,993.00|
page|88
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金||
投资活动现金流入小计|3,756,712,601.05|4,820,889,892.37
购建固定资产、无形资产和其他长期资产支付的现金|241,920,213.42|213,056,231.65
投资支付的现金|3,343,298,473.75|5,383,340,744.30
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额|11,839,756.45|1,030,601.58
支付其他与投资活动有关的现金||
投资活动现金流出小计|3,597,058,443.62|5,597,427,577.53
投资活动产生的现金流量净额|159,654,157.43|-776,537,685.16
三、筹资活动产生的现金流量：||
吸收投资收到的现金|13,890,000.00|653,600,500.00
其中：子公司吸收少数股东投资收到的现金|13,890,000.00|2,600,500.00
取得借款收到的现金|818,500,000.00|375,000,000.00
收到其他与筹资活动有关的现金|8,251,676.98|22,857,404.95
筹资活动现金流入小计|840,641,676.98|1,051,457,904.95
偿还债务支付的现金|752,000,000.00|351,112,549.66
分配股利、利润或偿付利息支付的现金|112,579,678.36|84,112,014.73
其中：子公司支付给少数股东的股利、利润|23,150,000.00|
支付其他与筹资活动有关的现金|72,051,862.18|24,129,900.00
筹资活动现金流出小计|936,631,540.54|459,354,464.39
筹资活动产生的现金流量净额|-95,989,863.56|592,103,440.56
四、汇率变动对现金及现金等价物的影响|-5,772,482.09|-15,786,761.38
五、现金及现金等价物净增加额|-55,521,955.98|263,875,469.03
加：期初现金及现金等价物余额|532,266,915.77|268,391,446.74
六、期末现金及现金等价物余额|476,744,959.79|532,266,915.77
