page|95
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|112,181,944.65|223,232,297.66
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产||
应收票据|35,980,630.06|26,219,219.18
应收账款|472,297,500.60|374,338,449.61
应收款项融资|87,023,789.86|85,465,756.21
预付款项|14,798,019.52|13,354,650.29
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|21,679,109.81|16,683,010.47
其中：应收利息|2,220,944.44|48,611.11
应收股利||
买入返售金融资产||
存货|232,569,382.02|186,769,624.66
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|80,167,070.95|5,544,148.95
流动资产合计|1,056,697,447.47|931,607,157.03
非流动资产：||
发放贷款和垫款||
债权投资|21,200,000.00|
其他债权投资||
page|96
长期应收款||
长期股权投资|31,241,752.23|23,559,236.04
其他权益工具投资||
其他非流动金融资产||
投资性房地产|40,437.36|43,970.29
固定资产|151,596,474.37|140,687,052.56
在建工程|18,856,261.95|17,677,045.59
生产性生物资产||
油气资产||
使用权资产||
无形资产|30,366,546.36|33,009,885.07
开发支出||
商誉|27,856,283.31|27,856,283.31
长期待摊费用|2,524,475.44|3,893,858.58
递延所得税资产|20,124,788.72|14,621,119.87
其他非流动资产|30,400,538.24|20,175,873.87
非流动资产合计|334,207,557.98|281,524,325.18
资产总计|1,390,905,005.45|1,213,131,482.21
流动负债：||
短期借款|8,000,000.00|22,000,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|49,330,000.00|36,850,000.00
应付账款|242,977,746.84|137,483,792.92
预收款项||
合同负债|3,612,181.52|8,591,279.13
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|22,842,920.66|22,877,441.02
应交税费|15,590,349.92|17,769,249.96
page|97
其他应付款|39,085,476.98|32,805,936.76
其中：应付利息||
应付股利|373,063.83|290,895.00
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债|447,499.86|1,116,866.28
流动负债合计|381,886,175.78|279,494,566.07
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|15,757,498.39|15,581,784.53
递延所得税负债|2,963,141.40|3,310,661.44
其他非流动负债||
非流动负债合计|18,720,639.79|18,892,445.97
负债合计|400,606,815.57|298,387,012.04
所有者权益：||
股本|223,355,600.00|223,663,700.00
其他权益工具||
其中：优先股||
永续债||
资本公积|355,335,024.95|355,058,507.53
减：库存股|7,418,056.80|13,669,915.00
其他综合收益||
专项储备||
盈余公积|34,209,050.44|30,097,010.07
page|98
一般风险准备||
未分配利润|318,618,300.44|253,744,902.50
归属于母公司所有者权益合计|924,099,919.03|848,894,205.10
少数股东权益|66,198,270.85|65,850,265.07
所有者权益合计|990,298,189.88|914,744,470.17
负债和所有者权益总计|1,390,905,005.45|1,213,131,482.21
