page|56
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|七、1|857,536,268.44|1,221,747,407.20
结算备付金|||
拆出资金|||
交易性金融资产|七、2||
衍生金融资产|||
应收票据|七、4|405,512,656.35|129,848,194.81
应收账款|七、5|1,614,210,515.15|2,043,149,060.99
应收款项融资|七、6|13,730,535.59|8,007,342.10
预付款项|七、7|49,623,123.90|46,099,567.19
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|126,684,866.27|142,384,086.36
其中：应收利息|||
应收股利|||
page|57
买入返售金融资产|||
存货|七、9|1,717,983,587.27|1,430,859,523.87
合同资产|七、10|289,967,963.68|124,948,665.47
持有待售资产|||
一年内到期的非流动资产|七、12|225,231,169.28|276,308,564.04
其他流动资产|七、13|17,357,663.85|4,015,563.54
流动资产合计||5,317,838,349.78|5,427,367,975.57
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|七、16|591,662,872.87|696,401,073.00
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|七、20|632,588.26|25,806,207.95
固定资产|七、21|1,052,232,384.81|873,153,305.50
在建工程|七、22|2,637,688.38|141,372,962.08
生产性生物资产|||
油气资产|||
使用权资产|七、25|7,403,105.51|
无形资产|七、26|267,927,899.10|280,048,456.27
开发支出|七、27|290,602,619.00|277,610,111.81
商誉|||
长期待摊费用|七、29|4,360,000.79|7,116,759.83
递延所得税资产|七、30|129,593,306.34|139,005,873.63
其他非流动资产|七、31|34,178,373.46|41,815,376.44
非流动资产合计||2,381,230,838.52|2,482,330,126.51
资产总计||7,699,069,188.30|7,909,698,102.08
流动负债：|||
短期借款|七、32|1,221,705,172.37|1,230,280,832.10
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七、35|502,334,870.98|512,579,372.65
应付账款|七、36|1,814,946,015.23|1,858,337,770.52
预收款项|七、37||
合同负债|七、38|234,281,838.68|323,324,203.58
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|5,064,632.62|10,137,377.81
应交税费|七、40|23,560,806.86|41,293,151.20
page|58
其他应付款|七、41|47,768,464.21|59,348,133.91
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|226,310,451.29|140,010,046.75
其他流动负债|七、44|30,090,349.23|96,494,557.44
流动负债合计||4,106,062,601.47|4,271,805,445.96
非流动负债：|||
保险合同准备金|||
长期借款|七、45|686,983,478.41|791,176,189.46
应付债券|||
其中：优先股|||
永续债|||
租赁负债|七、47|7,448,877.98|
长期应付款|七、48|41,056,356.14|115,333,808.95
长期应付职工薪酬|||
预计负债|||
递延收益|七、51|119,731,872.85|124,228,481.10
递延所得税负债|七、30|9,050,165.57|12,467,933.06
其他非流动负债|七、52||
非流动负债合计||864,270,750.95|1,043,206,412.57
负债合计||4,970,333,352.42|5,315,011,858.53
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|159,179,110.00|159,179,110.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、55|911,071,157.21|911,071,157.21
减：库存股|||
其他综合收益|||
专项储备|||
盈余公积|七、59|166,854,825.68|154,910,265.01
一般风险准备|||
未分配利润|七、60|1,463,103,593.65|1,343,706,540.15
归属 于母公司所有 者权益（或股东权益）合计||2,700,208,686.54|2,568,867,072.37
少数股东权益||28,527,149.34|25,819,171.18
所 有 者 权 益 （ 或 股 东 权益）合计||2,728,735,835.88|2,594,686,243.55
负债和所有者权益（或股东权益）总计||7,699,069,188.30|7,909,698,102.08
