page|92
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|1,501,193,721.45|1,261,005,506.24
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|33,434,065.73|25,564,567.68
收到其他与经营活动有关的现金|70,115,625.14|110,089,639.94
经营活动现金流入小计|1,604,743,412.32|1,396,659,713.86
购买商品、接受劳务支付的现金|856,325,975.58|563,263,975.85
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现|519,048,169.94|495,992,958.22
page|93
金||
支付的各项税费|125,143,852.36|114,699,978.34
支付其他与经营活动有关的现金|72,341,937.96|68,804,271.77
经营活动现金流出小计|1,572,859,935.84|1,242,761,184.18
经营活动产生的现金流量净额|31,883,476.48|153,898,529.68
二、投资活动产生的现金流量：||
收回投资收到的现金|4,266,873.73|180,000.00
取得投资收益收到的现金|8,221,565.14|22,783.78
处置固定资产、无形资产和其他长期资产收回的现金净额|269,444.22|264,088.89
处置子公司及其他营业单位收到的现金净额|1,133,784.85|
收到其他与投资活动有关的现金|210,000,000.00|1,832,828.45
投资活动现金流入小计|223,891,667.94|2,299,701.12
购建固定资产、无形资产和其他长期资产支付的现金|311,321,175.66|112,658,586.70
投资支付的现金|23,574,517.00|2,097,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金|142,000,000.00|93,300,000.00
投资活动现金流出小计|476,895,692.66|208,055,586.70
投资活动产生的现金流量净额|-253,004,024.72|-205,755,885.58
三、筹资活动产生的现金流量：||
吸收投资收到的现金|4,022,000.00|11,821,200.00
其中：子公司吸收少数股东投资收到的现金|4,022,000.00|
取得借款收到的现金|125,688,765.16|218,436,881.26
收到其他与筹资活动有关的现金||
筹资活动现金流入小计|129,710,765.16|230,258,081.26
偿还债务支付的现金|11,868,080.96|168,698,910.69
分配股利、利润或偿付利息支付的现金|79,480,003.98|31,683,916.08
其中：子公司支付给少数股东的股利、利润|2,220,824.43|
支付其他与筹资活动有关的现金|18,041,026.68|3,894,966.00
page|94
筹资活动现金流出小计|109,389,111.62|204,277,792.77
筹资活动产生的现金流量净额|20,321,653.54|25,980,288.49
四、汇率变动对现金及现金等价物的影响|-323,468.42|-131,739.25
五、现金及现金等价物净增加额|-201,122,363.12|-26,008,806.66
加：期初现金及现金等价物余额|933,518,631.55|959,527,438.21
六、期末现金及现金等价物余额|732,396,268.43|933,518,631.55
