page|161
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|1,040,865,132.52|1,043,244,906.71
结算备付金||
拆出资金||
page|162
交易性金融资产||40,100,820.30
衍生金融资产||
应收票据|18,312,163.60|34,175,913.67
应收账款|1,087,364,963.07|859,733,417.45
应收款项融资|27,713,330.60|
预付款项|84,374,131.40|86,118,053.18
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|59,461,714.17|89,741,421.75
其中：应收利息||
应收股利||
买入返售金融资产||
存货|384,135,838.47|174,456,488.54
合同资产|4,947,309,427.71|3,676,670,963.85
持有待售资产||
一年内到期的非流动资产||
其他流动资产|38,759,611.85|27,920,754.93
流动资产合计|7,688,296,313.39|6,032,162,740.38
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资||
其他权益工具投资||
其他非流动金融资产|9,000,000.00|9,000,000.00
投资性房地产|43,508,498.21|47,023,376.39
固定资产|104,957,973.44|111,783,005.26
在建工程||
生产性生物资产||
油气资产||
使用权资产|65,421,787.41|
无形资产|15,965,886.81|17,173,957.00
page|163
开发支出||
商誉|52,252,619.24|52,252,619.24
长期待摊费用|11,720,859.84|17,564,058.65
递延所得税资产|78,920,843.47|65,731,862.92
其他非流动资产|953,182.18|837,134.78
非流动资产合计|382,701,650.60|321,366,014.24
资产总计|8,070,997,963.99|6,353,528,754.62
流动负债：||
短期借款|428,045,343.76|404,537,579.17
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|294,721,915.50|385,190,793.51
应付账款|5,135,381,845.34|3,706,645,708.41
预收款项|807,329.00|2,396,129.00
合同负债|282,261,003.86|200,459,475.97
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|43,366,457.59|27,185,304.40
应交税费|37,080,437.20|29,576,425.74
其他应付款|21,899,491.66|17,915,895.51
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|67,663,411.79|
其他流动负债|444,416,768.02|225,516,823.58
流动负债合计|6,755,644,003.72|4,999,424,135.29
非流动负债：||
保险合同准备金||
page|164
长期借款|90,542,168.19|
应付债券||
其中：优先股||
永续债||
租赁负债|37,601,059.28|
长期应付款|108,588,171.41|
长期应付职工薪酬||
预计负债||
递延收益|5,121,312.37|5,427,062.41
递延所得税负债||25,205.08
其他非流动负债||
非流动负债合计|241,852,711.25|5,452,267.49
负债合计|6,997,496,714.97|5,004,876,402.78
所有者权益：||
股本|208,056,700.00|208,108,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|11,726,828.59|326,256,225.09
减：库存股||
其他综合收益||
专项储备|38,804,652.08|38,041,622.96
盈余公积|60,238,827.07|56,687,483.99
一般风险准备||
未分配利润|535,641,438.31|535,645,517.24
归属于母公司所有者权益合计|854,468,446.05|1,164,738,849.28
少数股东权益|219,032,802.97|183,913,502.56
所有者权益合计|1,073,501,249.02|1,348,652,351.84
负债和所有者权益总计|8,070,997,963.99|6,353,528,754.62
