page|118
项目|2021 年度|2020 年度
一、营业总收入|2,954,341,706.90|2,163,730,555.06
其中：营业收入|2,954,341,706.90|2,163,730,555.06
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|2,739,566,710.21|1,923,436,619.39
其中：营业成本|2,290,714,343.30|1,511,670,555.74
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|16,308,614.95|13,249,362.60
销售费用|139,493,112.40|170,482,455.91
管理费用|140,282,535.82|111,714,533.66
研发费用|136,652,422.35|101,160,161.42
财务费用|16,115,681.39|15,159,550.06
其中：利息费用|17,168,100.83|12,089,428.18
利息收入|7,026,916.49|5,216,253.56
加：其他收益|40,910,638.32|27,675,336.77
投资收益（损失以“－”号填列）|2,509,462.10|2,366,268.93
其中：对联营企业和合营企业的投资收益|-655,875.04|-738,583.12
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
page|119
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-14,659,915.44|-19,853,101.71
资产减值损失（损失以“-”号填列）|-2,109,448.62|-1,680,101.50
资产处置收益（损失以“-”号填列）|-3,021.50|49,167.99
三、营业利润（亏损以“－”号填列）|241,422,711.55|248,851,506.15
加：营业外收入|2,661,783.20|1,000,896.76
减：营业外支出|769,715.30|2,545,134.19
四、利润总额（亏损总额以“－”号填列）|243,314,779.45|247,307,268.72
减：所得税费用|18,427,365.79|27,025,474.74
五、净利润（净亏损以“－”号填列）|224,887,413.66|220,281,793.98
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|224,887,413.66|220,281,793.98
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|227,369,252.07|218,202,982.58
2.少数股东损益|-2,481,838.41|2,078,811.40
六、其他综合收益的税后净额|-1,514.11|-44,197.12
归属母公司所有者的其他综合收益的税后净额|-1,514.11|-44,197.12
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合|-1,514.11|-44,197.12
page|120
收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额|-1,514.11|-44,197.12
7.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|224,885,899.55|220,237,596.86
归属于母公司所有者的综合收益总额|227,367,737.96|218,158,785.46
归属于少数股东的综合收益总额|-2,481,838.41|2,078,811.40
八、每股收益：||
（一）基本每股收益|0.5496|0.5419
（二）稀释每股收益|0.5268|0.5418
