page|130
项目|2021 年度|2020 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|4,952,993,772.98|5,022,589,151.02
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|41,272,750.08|84,881,410.84
收到其他与经营活动有关的现金|259,535,793.16|147,572,479.17
经营活动现金流入小计|5,253,802,316.22|5,255,043,041.03
购买商品、接受劳务支付的现金|2,137,073,034.82|1,962,518,759.02
page|131
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|1,437,663,845.10|1,155,380,603.11
支付的各项税费|264,459,589.05|283,656,059.48
支付其他与经营活动有关的现金|270,632,237.96|239,582,566.30
经营活动现金流出小计|4,109,828,706.93|3,641,137,987.91
经营活动产生的现金流量净额|1,143,973,609.29|1,613,905,053.12
二、投资活动产生的现金流量：||
收回投资收到的现金||65,021.13
取得投资收益收到的现金||
处置固定资产、无形资产和其他长期资产收回的现金净额|5,933,965.27|3,294,479.57
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金|912,857,295.76|285,876,172.40
投资活动现金流入小计|918,791,261.03|289,235,673.10
购建固定资产、无形资产和其他长期资产支付的现金|1,330,654,889.02|696,341,437.56
投资支付的现金|3,000,000.00|
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金|859,290,000.00|40,000,000.00
投资活动现金流出小计|2,192,944,889.02|736,341,437.56
投资活动产生的现金流量净额|-1,274,153,627.99|-447,105,764.46
三、筹资活动产生的现金流量：||
page|132
吸收投资收到的现金|257,880,000.00|49,120,000.00
其中：子公司吸收少数股东投资收到的现金|257,880,000.00|49,120,000.00
取得借款收到的现金|850,000,000.00|1,035,074,204.11
收到其他与筹资活动有关的现金||
筹资活动现金流入小计|1,107,880,000.00|1,084,194,204.11
偿还债务支付的现金|970,074,204.11|1,170,769,789.31
分配股利、利润或偿付利息支付的现金|274,427,880.56|283,725,402.89
其中：子公司支付给少数股东的股利、利润|5,144,632.04|6,665,703.49
支付其他与筹资活动有关的现金|13,095,025.64|
筹资活动现金流出小计|1,257,597,110.31|1,454,495,192.20
筹资活动产生的现金流量净额|-149,717,110.31|-370,300,988.09
四、汇率变动对现金及现金等价物的影响|-22,997,592.68|-65,887,774.36
五、现金及现金等价物净增加额|-302,894,721.69|730,610,526.21
加：期初现金及现金等价物余额|1,674,759,334.32|944,148,808.11
六、期末现金及现金等价物余额|1,371,864,612.63|1,674,759,334.32
