page|95
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|193,763,158.54|189,827,013.65
结算备付金||
拆出资金||
交易性金融资产||32,074,563.14
衍生金融资产||
应收票据|164,497,842.18|77,523,593.33
应收账款|386,695,533.36|430,281,891.81
应收款项融资|42,103,207.86|74,326,437.32
预付款项|63,944,008.78|27,370,686.30
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|21,706,362.34|25,238,838.21
其中：应收利息||
应收股利||
买入返售金融资产||
存货|211,470,334.93|198,077,046.13
合同资产||
持有待售资产||
一年内到期的非流动资产||
发放贷款及垫款|5,883,000.00|2,450,000.00
其他流动资产|5,348,607.13|5,576,808.43
流动资产合计|1,095,412,055.12|1,062,746,878.32
非流动资产：||
发放贷款和垫款||
page|96
债权投资||
其他债权投资||
长期应收款||
长期股权投资||872,779.10
其他权益工具投资||
其他非流动金融资产||
投资性房地产|1,058,752.98|1,115,061.78
固定资产|343,218,676.37|351,117,366.43
在建工程|4,803,822.48|5,324,650.94
生产性生物资产||
油气资产||
使用权资产|212,074.49|
无形资产|91,559,590.15|84,488,024.71
开发支出||
商誉|24,778,071.08|202,335.23
长期待摊费用||
递延所得税资产|47,511,968.17|37,679,555.26
其他非流动资产|32,734,524.58|434,836.43
非流动资产合计|545,877,480.30|481,234,609.88
资产总计|1,641,289,535.42|1,543,981,488.20
流动负债：||
短期借款|523,379,199.97|493,774,281.96
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|104,540,000.00|60,800,000.00
应付账款|101,978,602.40|94,122,627.58
预收款项||
合同负债|10,049,658.86|9,769,672.75
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
page|97
应付职工薪酬|9,556,258.05|8,208,043.36
应交税费|7,223,479.08|4,143,430.10
其他应付款|35,932,507.43|50,115,485.04
其中：应付利息|517,098.18|517,098.18
应付股利|14,700,000.00|
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|36,176.43|
其他流动负债|27,914,932.63|33,103,211.86
流动负债合计|820,610,814.85|754,036,752.65
非流动负债：||
保险合同准备金||
长期借款|200,000.00|
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债|1,890,893.92|
递延收益|24,921,867.84|26,980,657.52
递延所得税负债|3,525,675.24|2,065,349.51
其他非流动负债||
非流动负债合计|30,538,437.00|29,046,007.03
负债合计|851,149,251.85|783,082,759.68
所有者权益：||
股本|222,469,156.00|222,469,156.00
其他权益工具||
其中：优先股||
永续债||
资本公积|426,443,820.01|426,443,820.01
减：库存股||
其他综合收益||
page|98
专项储备|2,160,641.24|2,409,429.93
盈余公积|38,393,725.25|36,889,409.41
一般风险准备||
未分配利润|76,854,882.27|66,434,773.85
归属于母公司所有者权益合计|766,322,224.77|754,646,589.20
少数股东权益|23,818,058.80|6,252,139.32
所有者权益合计|790,140,283.57|760,898,728.52
负债和所有者权益总计|1,641,289,535.42|1,543,981,488.20
