page|99
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|330,620,413.02|339,848,314.53
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产||
应收票据|1,345,000.00|3,551,913.54
应收账款|949,728,619.11|905,192,287.18
应收款项融资|118,746,583.42|107,132,937.64
预付款项|25,780,779.24|19,705,886.67
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|19,926,866.06|20,759,046.80
其中：应收利息||
应收股利||
page|100
买入返售金融资产||
存货|346,791,604.00|288,661,509.99
合同资产|88,546,274.75|80,306,693.43
持有待售资产||
一年内到期的非流动资产|393,124.50|1,767,348.81
其他流动资产|35,271,728.50|18,273,888.56
流动资产合计|1,917,150,992.60|1,785,199,827.15
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款|34,563,096.95|37,554,739.19
长期股权投资|81,669,616.02|78,539,497.00
其他权益工具投资||
其他非流动金融资产|23,365,131.58|24,023,026.32
投资性房地产|22,448,778.61|3,168,037.36
固定资产|346,293,980.77|294,315,875.17
在建工程|160,678,028.16|175,003,210.38
生产性生物资产||
油气资产||
使用权资产|2,619,226.40|
无形资产|690,041,058.99|559,152,898.03
开发支出||
商誉|149,882,586.30|149,882,586.30
长期待摊费用|60,196,520.87|92,086,974.54
递延所得税资产|39,870,801.66|42,668,699.65
其他非流动资产|265,284,716.61|272,006,015.23
非流动资产合计|1,876,913,542.92|1,728,401,559.17
资产总计|3,794,064,535.52|3,513,601,386.32
流动负债：||
短期借款|421,000,000.00|356,000,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
page|101
衍生金融负债||
应付票据|15,492,134.74|32,021,580.00
应付账款|463,370,378.00|491,313,695.42
预收款项||
合同负债|119,139,989.86|86,269,992.38
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|81,072,286.57|80,936,598.03
应交税费|35,199,965.79|33,831,989.06
其他应付款|9,545,926.05|10,234,864.07
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|73,516,712.46|104,964,155.00
其他流动负债|86,447,411.52|46,800,690.07
流动负债合计|1,304,784,804.99|1,242,373,564.03
非流动负债：||
保险合同准备金||
长期借款|213,908,783.02|163,082,749.17
应付债券||
其中：优先股||
永续债||
租赁负债|1,587,544.46|
长期应付款|33,600,000.00|
长期应付职工薪酬||
预计负债|25,207,764.25|35,914,897.12
递延收益|28,228,899.62|36,598,769.46
递延所得税负债|26,421,980.72|28,168,567.13
其他非流动负债|668,837.36|668,837.36
非流动负债合计|329,623,809.43|264,433,820.24
page|102
负债合计|1,634,408,614.42|1,506,807,384.27
所有者权益：||
股本|675,708,786.00|675,708,786.00
其他权益工具||
其中：优先股||
永续债||
资本公积|486,621,431.25|486,621,431.25
减：库存股||
其他综合收益||
专项储备|21,064,163.73|19,016,848.81
盈余公积|82,846,097.80|70,847,452.63
一般风险准备||
未分配利润|736,804,361.31|607,242,659.85
归属于母公司所有者权益合计|2,003,044,840.09|1,859,437,178.54
少数股东权益|156,611,081.01|147,356,823.51
所有者权益合计|2,159,655,921.10|2,006,794,002.05
负债和所有者权益总计|3,794,064,535.52|3,513,601,386.32
