page|92
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|289,258,131.49|177,859,777.24
结算备付金||
拆出资金||
交易性金融资产|352,794,249.31|80,888,216.44
衍生金融资产||
应收票据||990,287.64
应收账款|221,436,694.64|231,773,340.09
应收款项融资|136,946,144.29|139,451,321.50
预付款项|6,743,694.99|10,208,186.81
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|3,607,614.76|5,286,984.89
其中：应收利息||
应收股利||
买入返售金融资产||
存货|212,692,771.62|143,782,567.51
合同资产|74,368,554.51|45,214,862.50
持有待售资产||
一年内到期的非流动资产||
page|93
其他流动资产|142,089,885.27|200,749,151.74
流动资产合计|1,439,937,740.88|1,036,204,696.36
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资||
其他权益工具投资||
其他非流动金融资产||
投资性房地产||
固定资产|135,942,964.95|81,766,995.24
在建工程|59,492,098.29|4,991,648.23
生产性生物资产||
油气资产||
使用权资产|22,898,906.15|
无形资产|26,218,543.15|7,668,765.51
开发支出||
商誉|22,123,740.06|
长期待摊费用||
递延所得税资产|15,323,286.68|11,989,697.48
其他非流动资产|17,010,228.47|1,656,445.16
非流动资产合计|299,009,767.75|108,073,551.62
资产总计|1,738,947,508.63|1,144,278,247.98
流动负债：||
短期借款|388,679,652.00|86,772,197.27
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|56,717,776.49|45,381,268.00
应付账款|213,738,751.25|123,451,162.78
预收款项||
合同负债|14,146,201.19|5,707,787.00
page|94
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|21,434,971.23|7,372,981.65
应交税费|6,184,185.05|26,334,321.12
其他应付款|19,438,036.81|9,304,002.57
其中：应付利息|1,907,652.67|1,935,095.75
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|17,575,284.88|20,000,000.00
其他流动负债|607,506.50|43,720.27
流动负债合计|738,522,365.40|324,367,440.66
非流动负债：||
保险合同准备金||
长期借款|88,892,290.98|
应付债券||
其中：优先股||
永续债||
租赁负债|15,264,261.46|
长期应付款||
长期应付职工薪酬|3,998,468.98|
预计负债|15,992,016.51|4,574,454.03
递延收益|45,103,632.89|45,764,148.00
递延所得税负债|6,668,388.28|
其他非流动负债||
非流动负债合计|175,919,059.10|50,338,602.03
负债合计|914,441,424.50|374,706,042.69
所有者权益：||
股本|80,367,500.00|80,000,000.00
其他权益工具||
其中：优先股||
page|95
永续债||
资本公积|371,220,500.00|349,719,801.71
减：库存股|15,052,800.00|
其他综合收益|-2,301,817.03|
专项储备||
盈余公积|46,668,904.25|39,624,451.50
一般风险准备||
未分配利润|337,131,080.79|299,783,204.84
归属于母公司所有者权益合计|818,033,368.01|769,127,458.05
少数股东权益|6,472,716.12|444,747.24
所有者权益合计|824,506,084.13|769,572,205.29
负债和所有者权益总计|1,738,947,508.63|1,144,278,247.98
