page|130
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|七、1|220,405,530.79|139,290,230.04
结算备付金|||
拆出资金|||
交易性金融资产|七、2|171,065,722.89|
衍生金融资产|||
应收票据|七、4|1,862,501.58|2,630,912.53
应收账款|七、5|79,095,579.10|79,498,742.57
应收款项融资|||
预付款项|七、7|47,137,140.60|24,236,300.20
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|48,432,272.57|39,696,308.05
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|205,684,715.24|140,591,605.10
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|8,774,447.20|9,416,211.32
流动资产合计||782,457,909.97|435,360,309.81
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|七、17|3,877,286.09|3,971,671.59
其他权益工具投资|七、18|120,000.00|120,000.00
其他非流动金融资产|七、19|30,000,000.00|
投资性房地产|||
固定资产|七、21|17,386,997.05|14,954,844.51
在建工程|||
生产性生物资产|||
油气资产|||
使用权资产|七、25|102,790,829.64|
无形资产|七、26|4,412,686.10|5,001,201.51
开发支出|||
page|131
商誉|||
长期待摊费用|七、29|13,775,102.77|11,847,279.28
递延所得税资产|七、30|6,055,636.15|4,944,148.76
其他非流动资产|||
非流动资产合计||178,418,537.80|40,839,145.65
资产总计||960,876,447.77|476,199,455.46
流动负债：|||
短期借款|七、32|10,000,000.00|45,000,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|||
应付账款|七、36|142,564,367.47|153,041,599.72
预收款项|||2,337,810.95
合同负债|七、38|5,797,377.35|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|13,016,161.19|13,661,141.69
应交税费|七、40|13,702,091.37|9,342,752.74
其他应付款|七、41|19,102,419.47|17,397,753.72
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|54,723,832.35|
其他流动负债|七、44|745,654.01|
流动负债合计||259,651,903.21|240,781,058.82
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|七、47|46,072,863.91|
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|七、51|150,202.02|1,550,722.02
递延所得税负债|||
其他非流动负债|||
非流动负债合计||46,223,065.93|1,550,722.02
负债合计||305,874,969.14|242,331,780.84
所有者权益（或股东权益）：|||
page|132
实收资本（或股本）||61,640,000.00|46,230,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、55|365,039,434.26|21,539,020.15
减：库存股|||
其他综合收益|七、57|-1,104,400.35|-1,142,834.97
专项储备|||
盈余公积|七、59|30,210,582.98|23,115,000.00
一般风险准备|||
未分配利润|七、60|199,544,983.84|144,735,745.65
归属于母公司所有者权益（或股东权益）合计||655,330,600.73|234,476,930.83
少数股东权益||-329,122.10|-609,256.21
所有者权益（或股东权益）合计||655,001,478.63|233,867,674.62
负债和所有者权益（或股东权益）总计||960,876,447.77|476,199,455.46
