page|99
项目|附注|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|七、1|1,157,159,433.55|275,878,153.11
结算备付金|||
拆出资金|||
page|100
交易性金融资产|七、2|411,124,513.05|33,023,179.98
衍生金融资产|||
应收票据|||
应收账款|七、5|61,792,116.85|79,568,289.60
应收款项融资|||
预付款项|七、7|2,432,242.78|910,145.33
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|801,511.75|966,712.83
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|120,615,206.73|56,292,309.77
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|3,829,122.57|2,736,040.11
流动资产合计||1,757,754,147.28|449,374,830.73
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|七、18|4,100,000.00|4,100,000.00
其他非流动金融资产|||
投资性房地产|||
固定资产|七、21|14,373,862.71|8,595,884.52
在建工程|||
生产性生物资产|||
油气资产|||
使用权资产|七、25|5,519,975.53|
无形资产|七、26|37,336,942.36|30,338,043.00
开发支出|||
商誉|||
长期待摊费用|七、29|174,825.97|213,400.97
递延所得税资产|||
其他非流动资产|||
非流动资产合计||61,505,606.57|43,247,328.49
资产总计||1,819,259,753.85|492,622,159.22
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|||
page|101
应付账款|七、36|57,335,002.06|47,467,234.34
预收款项|七、37|49,621.54|419,041.98
合同负债|||
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|16,830,156.87|10,824,110.25
应交税费|七、40|986,045.27|1,030,232.87
其他应付款|七、41|19,219,644.69|9,107,968.15
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|3,234,698.33|
其他流动负债|||
流动负债合计||97,655,168.76|68,848,587.59
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|七、47|2,355,627.19|
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|七、51|7,211,716.17|6,601,394.06
递延所得税负债|||
其他非流动负债|||
非流动负债合计||9,567,343.36|6,601,394.06
负债合计||107,222,512.12|75,449,981.65
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|122,000,000.00|91,500,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、55|1,593,635,267.71|412,373,532.71
减：库存股|||
其他综合收益|七、57|10,958,648.56|11,803,113.29
专项储备|||
盈余公积|七、59|5,642,519.69|3,224,286.63
一般风险准备|||
未分配利润|七、60|-20,199,194.23|-101,728,755.06
归属于母公司所有者权益（或股东权益）合计||1,712,037,241.73|417,172,177.57
少数股东权益|||
page|102
所有者权益（或股东权益）合计||1,712,037,241.73|417,172,177.57
负债和所有者权益（或股东权益）总计||1,819,259,753.85|492,622,159.22
