page|90
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|4,618,532,776.92|1,776,856,909.85
结算备付金||
拆出资金||
交易性金融资产|2,098,526,001.60|1,321,234,029.61
衍生金融资产||
应收票据||
应收账款|1,264,319,473.08|1,164,657,998.35
应收款项融资||
预付款项|1,055,295,139.07|999,890,031.00
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|89,898,027.86|85,138,773.10
其中：应收利息||
应收股利|14,481,435.97|10,100,000.00
买入返售金融资产||
存货||
page|91
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|60,264,139.07|452,435,284.38
流动资产合计|9,186,835,557.60|5,800,213,026.29
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资|509,058,912.99|360,566,552.56
其他权益工具投资|326,561,477.94|294,824,927.02
其他非流动金融资产|561,680,630.03|372,195,483.93
投资性房地产||
固定资产|892,006,774.60|922,736,638.76
在建工程|77,637,189.70|4,180,019.75
生产性生物资产||
油气资产||
使用权资产|59,925,125.24|
无形资产|1,088,487,381.04|1,108,434,647.51
开发支出||
商誉|1,589,065,048.53|1,589,065,048.53
长期待摊费用|97,947,759.66|71,442,122.88
递延所得税资产|17,700,526.83|9,967,411.35
其他非流动资产|30,274,858.60|30,705,621.27
非流动资产合计|5,250,345,685.16|4,764,118,473.56
资产总计|14,437,181,242.76|10,564,331,499.85
流动负债：||
短期借款|445,635,500.00|889,324,326.07
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
page|92
应付票据|208,000,000.00|393,351,017.72
应付账款|1,565,004,179.17|1,078,096,658.12
预收款项||
合同负债|260,658,631.26|204,231,829.45
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|455,632,387.06|410,000,161.52
应交税费|188,987,667.45|160,224,192.87
其他应付款|199,296,971.30|1,317,972,818.79
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|23,773,918.12|
其他流动负债|52,341,276.62|45,287,027.61
流动负债合计|3,399,330,530.98|4,498,488,032.15
非流动负债：||
保险合同准备金||
长期借款|20,000,000.00|
应付债券||
其中：优先股||
永续债||
租赁负债|39,641,414.25|
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益||
递延所得税负债|120,873,287.67|391,763.97
其他非流动负债||
非流动负债合计|180,514,701.92|391,763.97
page|93
负债合计|3,579,845,232.90|4,498,879,796.12
所有者权益：||
股本|2,217,864,281.00|2,112,251,697.00
其他权益工具||
其中：优先股||
永续债||
资本公积|2,978,593,891.37|114,693,519.91
减：库存股|299,999,563.27|
其他综合收益|-184,243,331.38|-149,074,272.37
专项储备||
盈余公积|166,559,856.09|
一般风险准备||
未分配利润|5,894,941,180.68|3,959,512,681.41
归属于母公司所有者权益合计|10,773,716,314.49|6,037,383,625.95
少数股东权益|83,619,695.37|28,068,077.78
所有者权益合计|10,857,336,009.86|6,065,451,703.73
负债和所有者权益总计|14,437,181,242.76|10,564,331,499.85
