page|79
项目|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：||
货币资金|140,249,072.22|116,745,728.46
结算备付金||
拆出资金||
交易性金融资产|3,216,185.08|3,962.36
衍生金融资产||
应收票据|36,138,802.75|87,977,896.66
page|80
应收账款|651,493,713.71|679,832,216.84
应收款项融资|14,138,195.44|19,598,309.35
预付款项|10,960,153.09|26,302,259.31
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|7,569,702.78|10,745,048.26
其中：应收利息||
应收股利||
买入返售金融资产||
存货|170,298,394.52|171,941,180.24
合同资产|11,551,689.51|13,873,731.10
持有待售资产||
一年内到期的非流动资产||
其他流动资产|10,827,869.04|10,701,967.21
流动资产合计|1,056,443,778.14|1,137,722,299.79
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资|5,440,590.88|6,239,727.78
其他权益工具投资||
其他非流动金融资产|10,000,000.00|2,000,000.00
投资性房地产||
固定资产|349,747,684.57|379,254,479.04
在建工程|1,298,788.28|
生产性生物资产||
油气资产||
使用权资产|6,206,258.94|
无形资产|121,854,204.67|138,932,181.02
开发支出||
商誉||28,712,569.10
长期待摊费用|12,696,612.37|17,618,024.69
page|81
递延所得税资产|22,687,458.16|17,081,630.17
其他非流动资产|2,310,810.00|1,905,562.00
非流动资产合计|532,242,407.87|591,744,173.80
资产总计|1,588,686,186.01|1,729,466,473.59
流动负债：||
短期借款|451,267,090.03|469,946,359.56
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|49,867,780.82|59,234,516.25
应付账款|387,847,446.21|418,037,600.65
预收款项||
合同负债|2,678,843.58|3,950,483.93
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|14,386,116.07|13,028,290.34
应交税费|7,557,207.67|6,875,673.62
其他应付款|55,560,462.35|48,413,897.79
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|77,741,020.71|65,567,172.91
其他流动负债|250,572.99|364,084.95
流动负债合计|1,047,156,540.43|1,085,418,080.00
非流动负债：||
保险合同准备金||
长期借款|16,029,333.33|
应付债券||
其中：优先股||
page|82
永续债||
租赁负债|1,077,949.02|
长期应付款|52,747,877.91|9,375,836.70
长期应付职工薪酬||
预计负债|5,103,522.22|
递延收益|12,525,430.20|13,833,896.54
递延所得税负债|1,937,500.00|2,687,500.00
其他非流动负债||
非流动负债合计|89,421,612.68|25,897,233.24
负债合计|1,136,578,153.11|1,111,315,313.24
所有者权益：||
股本|325,984,340.00|325,984,340.00
其他权益工具||
其中：优先股||
永续债||
资本公积|828,623,880.17|828,614,741.33
减：库存股||
其他综合收益|1,663,061.15|3,252,291.86
专项储备||
盈余公积|14,552,287.53|14,552,287.53
一般风险准备||
未分配利润|-717,472,222.39|-553,381,451.45
归属于母公司所有者权益合计|453,351,346.46|619,022,209.27
少数股东权益|-1,243,313.56|-871,048.92
所有者权益合计|452,108,032.90|618,151,160.35
负债和所有者权益总计|1,588,686,186.01|1,729,466,473.59
