page|148
项目|2021 年度|2020 年度
一、营业总收入|2,708,642,043.88|2,341,821,449.45
其中：营业收入|2,708,642,043.88|2,341,821,449.45
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|2,531,893,168.19|2,110,794,409.62
其中：营业成本|1,952,139,708.69|1,587,002,609.45
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|14,455,947.31|17,065,353.98
销售费用|369,245,581.62|333,860,965.50
管理费用|139,935,713.80|120,622,267.91
研发费用|63,701,854.17|60,080,542.86
财务费用|-7,585,637.40|-7,837,330.08
其中：利息费用|2,821,549.95|
利息收入|11,161,271.85|8,770,874.79
加：其他收益|15,071,479.84|24,577,669.07
投资收益（损失以“－”号填列）|4,367,935.05|32,042,649.35
其中：对联营企业和合营企业的投资收益||
page|149
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||5,327,421.40
信用减值损失（损失以“-”号填列）|-156,901,417.20|-12,561,934.35
资产减值损失（损失以“-”号填列）|-15,974,178.89|-9,780,894.83
资产处置收益（损失以“-”号填列）|20,713.40|30,953.86
三、营业利润（亏损以“－”号填列）|23,333,407.89|270,662,904.33
加：营业外收入|2,723,355.41|2,341,268.56
减：营业外支出|3,260,030.33|1,298,972.55
四、利润总额（亏损总额以“－”号填列）|22,796,732.97|271,705,200.34
减：所得税费用|-3,559,564.58|37,014,660.65
五、净利润（净亏损以“－”号填列）|26,356,297.55|234,690,539.69
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|26,356,297.55|234,690,539.69
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|26,356,297.55|234,690,539.69
2.少数股东损益||
六、其他综合收益的税后净额||
page|150
归属母公司所有者的其他综合收益的税后净额||
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额||
7.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|26,356,297.55|234,690,539.69
归属于母公司所有者的综合收益总额|26,356,297.55|234,690,539.69
归属于少数股东的综合收益总额||
page|151
八、每股收益：||
（一）基本每股收益|0.10|0.85
（二）稀释每股收益|0.10|0.85
